ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 23.3333 123.3332 23.3333 123.3332 4.790081e+04 0.37 218.40 202.13 1999-11-01-00 NaN NaN	
2 0 17.0000 181.9998 17.0000 181.6665 7.877926e+03 0.29 230.24 226.22 1999-11-01-00 NaN NaN	
3 0 16.6666 178.9998 16.6666 178.9998 7.896576e+03 NaN 226.22 220.87 1999-11-01-00 NaN NaN	
4 0 12.3333 168.3332 12.3333 168.3332 6.712209e+03 NaN 227.02 220.87 1999-11-01-00 NaN NaN	
5 0 11.0000 285.9997 11.0000 285.9997 6.739753e+03 0.00 223.68 219.53 1999-11-01-00 NaN NaN	
6 0 10.6667 112.6665 10.6667 112.6665 2.025522e+04 0.60 218.64 205.47 1999-11-01-00 NaN NaN	
7 0 9.6667 145.6665 9.6667 145.3332 1.083302e+04 0.39 226.39 212.17 1999-11-01-00 NaN NaN	
8 0 9.6667 331.3330 9.6667 331.3330 2.436469e+04 0.49 222.28 208.82 1999-11-01-00 NaN NaN	
9 0 9.3333 177.6665 9.3333 177.6665 1.490913e+04 0.56 223.67 214.84 1999-11-01-00 NaN NaN	
10 0 8.6667 278.9997 8.6667 278.9997 5.431268e+03 NaN 227.56 222.87 1999-11-01-00 NaN NaN	
11 0 6.3333 320.3330 6.6667 320.3330 9.555268e+03 0.00 228.61 224.21 1999-11-01-00 NaN NaN	
12 0 5.3333 295.6664 5.3333 295.3330 8.204787e+03 0.00 224.66 212.17 1999-11-01-00 NaN NaN	
13 0 1.3333 106.6666 1.0000 106.9999 2.197474e+04 0.60 227.43 220.20 1999-11-01-00 NaN NaN	
14 0 -2.3333 131.6665 -2.3333 131.6665 3.568437e+04 0.77 221.28 208.15 1999-11-01-00 NaN NaN	
15 0 -4.3333 133.3332 -4.3333 133.3332 9.587209e+03 0.56 224.40 218.19 1999-11-01-00 NaN NaN	
16 0 -4.0000 146.3332 -4.0000 146.6665 8.222691e+03 0.41 226.22 220.87 1999-11-01-00 NaN NaN	
17 0 -5.6667 127.9999 -6.0000 127.9999 1.230120e+04 0.60 218.86 210.83 1999-11-01-00 NaN NaN	
