ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 28.0000 251.3331 28.0000 250.9997 7.274243e+03 NaN 232.24 231.57 2002-12-01-00 NaN NaN	
2 0 17.0000 341.9996 17.0000 341.9996 1.182835e+04 0.64 231.80 229.57 2002-12-01-00 NaN NaN	
3 0 10.0000 108.9999 10.0000 108.6665 5.411711e+03 0.00 228.90 225.55 2002-12-01-00 NaN NaN	
4 0 7.0000 276.6664 6.6667 276.6664 9.546848e+03 0.80 228.80 222.87 2002-12-01-00 NaN NaN	
5 0 6.3333 165.9998 6.3333 165.9998 6.826179e+03 NaN 218.46 204.13 2002-12-01-00 NaN NaN	
6 0 5.6667 98.6666 5.6667 98.6666 6.835438e+03 0.00 227.96 226.22 2002-12-01-00 NaN NaN	
7 0 3.6667 282.9997 3.6667 282.9997 8.225897e+03 0.55 220.42 211.50 2002-12-01-00 NaN NaN	
8 0 3.0000 287.6664 3.0000 287.6664 5.487664e+03 NaN 226.72 221.54 2002-12-01-00 NaN NaN	
9 0 0.3333 340.3330 0.3333 340.3330 1.099027e+04 0.27 229.06 225.55 2002-12-01-00 NaN NaN	
10 0 -0.6667 142.3332 -1.0000 142.6665 6.868355e+03 0.00 223.81 212.17 2002-12-01-00 NaN NaN	
11 0 -6.3333 19.3333 -6.3333 19.0000 1.501783e+04 0.32 227.62 217.52 2002-12-01-00 NaN NaN	
12 0 -8.6667 26.6666 -8.6667 26.3333 1.765534e+04 0.48 227.10 217.52 2002-12-01-00 NaN NaN	
13 0 -8.6667 58.6666 -8.6667 58.3333 5.432496e+03 NaN 225.05 220.87 2002-12-01-00 NaN NaN	
14 0 -9.3333 188.9998 -9.6667 188.9998 3.387772e+04 0.33 224.59 216.85 2002-12-01-00 NaN NaN	
15 0 -11.6667 53.6666 -11.6667 53.6666 8.075757e+03 0.00 223.65 214.17 2002-12-01-00 NaN NaN	
16 0 -12.3333 284.9997 -12.3333 284.9997 6.713894e+03 0.00 223.14 214.84 2002-12-01-00 NaN NaN	
17 0 -14.0000 300.9997 -14.0000 300.9997 6.668834e+03 0.00 227.29 221.54 2002-12-01-00 NaN NaN	
18 0 -14.3333 212.6664 -14.3333 212.6664 1.197328e+04 0.67 223.39 216.18 2002-12-01-00 NaN NaN	
19 0 -14.3333 48.3333 -14.3333 48.0000 1.197141e+04 0.00 226.22 221.54 2002-12-01-00 NaN NaN	
20 0 -19.3333 193.6665 -19.3333 193.6665 2.852676e+04 0.19 228.59 225.55 2002-12-01-00 NaN NaN	
21 0 -24.3333 230.3331 -24.3333 230.3331 5.013609e+03 NaN 230.24 228.23 2002-12-01-00 NaN NaN	
22 3 12.0000 342.6663 12.0000 342.9996 3.761445e+04 0.59 228.13 219.53 2002-12-01-00 54.23 153.4	
22 3 12.6667 341.6663 12.6667 341.6663 2.680432e+04 0.35 228.13 222.20 2002-12-01-03 NaN NaN	
23 3 10.0000 331.9997 10.0000 332.3330 4.192614e+04 0.40 227.39 220.20 2002-12-01-00 78.56 51.3	
23 3 11.3333 333.6663 11.6667 333.6663 7.269228e+04 0.39 225.49 216.85 2002-12-01-03 NaN NaN	
24 3 9.0000 282.6664 9.0000 282.3330 5.427540e+03 0.00 228.56 225.55 2002-12-01-00 52.13 -45.0	
24 3 8.0000 283.3330 8.0000 283.3330 1.088429e+04 0.29 222.20 216.18 2002-12-01-03 NaN NaN	
25 3 9.0000 229.3331 9.0000 228.9998 1.628003e+04 0.37 229.06 225.55 2002-12-01-00 38.62 18.4	
25 3 9.3333 229.9998 9.3333 229.9998 1.762915e+04 0.47 229.00 224.21 2002-12-01-03 NaN NaN	
26 3 6.6667 160.6665 6.6667 160.3332 5.458990e+03 NaN 231.57 230.24 2002-12-01-00 12.27 0.0	
26 3 6.6667 160.6665 6.6667 160.6665 5.458990e+03 NaN 229.57 228.90 2002-12-01-03 NaN NaN	
27 3 7.3333 185.6665 7.3333 184.9998 1.648955e+05 0.58 222.86 204.13 2002-12-01-00 54.86 153.4	
27 3 8.3333 184.3331 8.0000 183.6665 2.719559e+04 0.36 228.53 216.85 2002-12-01-03 NaN NaN	
28 3 0.6667 131.9999 0.6667 131.9999 9.615743e+03 0.38 219.15 210.16 2002-12-01-00 27.62 26.6	
28 3 1.0000 132.3332 1.0000 132.6665 1.785670e+04 0.36 228.38 222.87 2002-12-01-03 NaN NaN	
29 3 -1.6667 189.3331 -1.6667 189.3331 1.510545e+04 0.65 227.62 212.17 2002-12-01-00 24.71 90.0	
29 3 -1.3333 189.6665 -1.0000 189.3331 5.494079e+03 NaN 224.55 219.53 2002-12-01-03 NaN NaN	
30 3 -7.3333 291.3330 -7.3333 291.3330 2.316201e+04 0.65 227.56 221.54 2002-12-01-00 34.82 135.0	
30 3 -6.6667 290.6664 -6.6667 290.6664 8.187801e+03 0.00 229.23 224.88 2002-12-01-03 NaN NaN	
31 3 -7.6667 122.9999 -7.6667 122.6665 3.948431e+04 0.43 212.49 197.44 2002-12-01-00 12.35 90.0	
31 3 -7.3333 122.6665 -7.3333 122.6665 2.997283e+04 0.75 220.93 210.16 2002-12-01-03 NaN NaN	
32 3 -8.0000 182.9998 -8.0000 182.9998 1.224042e+04 0.48 222.87 209.49 2002-12-01-00 99.59 -82.9	
32 3 -11.0000 182.6665 -10.6667 183.3331 5.472375e+05 0.55 211.87 186.06 2002-12-01-03 NaN NaN	
33 3 -10.3333 118.9999 -10.3333 118.9999 6.754729e+03 0.00 219.93 209.49 2002-12-01-00 38.52 18.4	
33 3 -10.3333 119.9999 -10.0000 119.9999 1.027362e+05 0.52 218.69 199.45 2002-12-01-03 NaN NaN	
34 3 -12.6667 297.9997 -12.6667 297.9997 3.618477e+04 0.54 224.83 216.18 2002-12-01-00 50.86 -76.0	
34 3 -14.0000 298.6664 -14.0000 298.3330 7.996013e+03 0.60 230.35 226.22 2002-12-01-03 NaN NaN	
35 3 -15.3333 301.9997 -15.3333 301.9997 1.722981e+04 0.74 224.06 211.50 2002-12-01-00 66.18 -111.8	
35 3 -16.6666 301.3330 -17.0000 301.3330 2.501833e+04 0.51 229.39 223.54 2002-12-01-03 NaN NaN	
36 3 -28.6666 247.3331 -29.0000 247.3331 5.663704e+04 0.77 226.49 216.18 2002-12-01-00 40.68 -33.7	
36 3 -29.6666 248.3331 -29.6666 248.3331 2.147900e+04 0.36 224.99 219.53 2002-12-01-03 NaN NaN	
37 0 23.6666 343.3330 23.6666 343.3330 2.265486e+04 0.50 228.19 222.20 2002-12-01-03 NaN NaN	
38 0 20.3333 342.6663 20.3333 342.6663 5.152773e+03 0.00 229.73 226.89 2002-12-01-03 NaN NaN	
39 0 13.0000 327.9997 13.3333 327.9997 5.350758e+03 NaN 230.74 228.23 2002-12-01-03 NaN NaN	
40 0 7.0000 181.6665 7.0000 181.6665 1.227095e+04 0.59 226.07 218.19 2002-12-01-03 NaN NaN	
41 0 6.6667 197.3331 7.0000 197.3331 1.636999e+04 0.69 223.43 214.84 2002-12-01-03 NaN NaN	
42 0 6.0000 258.3331 6.0000 258.3331 1.229895e+04 0.69 222.50 214.84 2002-12-01-03 NaN NaN	
43 0 5.0000 19.0000 5.0000 19.0000 1.368699e+04 0.30 227.69 220.87 2002-12-01-03 NaN NaN	
44 0 4.0000 131.3332 4.0000 131.3332 5.482390e+03 NaN 224.21 211.50 2002-12-01-03 NaN NaN	
45 0 2.0000 333.3330 2.0000 333.3330 5.492150e+03 NaN 228.23 224.88 2002-12-01-03 NaN NaN	
46 0 1.0000 137.3332 1.0000 137.3332 8.241677e+03 0.62 225.77 218.86 2002-12-01-03 NaN NaN	
47 0 -4.3333 294.6664 -4.3333 294.6664 5.478906e+03 NaN 227.56 223.54 2002-12-01-03 NaN NaN	
48 0 -7.6667 287.3330 -7.6667 287.3330 1.089097e+04 0.77 219.36 214.17 2002-12-01-03 NaN NaN	
49 0 -7.6667 328.3330 -7.6667 327.9997 6.808647e+03 NaN 231.84 230.24 2002-12-01-03 NaN NaN	
50 0 -8.6667 168.3332 -8.6667 168.3332 1.222411e+04 0.37 225.48 218.86 2002-12-01-03 NaN NaN	
51 0 -10.3333 297.3330 -10.3333 297.3330 3.782548e+04 0.36 226.41 216.18 2002-12-01-03 NaN NaN	
52 0 -10.3333 112.3332 -10.3333 112.3332 5.408935e+03 NaN 227.22 224.88 2002-12-01-03 NaN NaN	
53 0 -10.3333 113.6665 -10.3333 113.6665 6.756140e+03 0.00 227.83 224.21 2002-12-01-03 NaN NaN	
54 0 -11.0000 34.6666 -11.0000 34.6666 1.348251e+04 0.71 216.85 202.80 2002-12-01-03 NaN NaN	
55 0 -11.6667 20.3333 -11.6667 20.0000 6.723864e+03 0.00 232.51 231.57 2002-12-01-03 NaN NaN	
56 0 -12.6667 168.9998 -12.6667 168.9998 2.546112e+04 0.75 224.92 216.18 2002-12-01-03 NaN NaN	
57 0 -12.6667 330.9997 -12.6667 330.9997 9.378939e+03 0.38 229.57 225.55 2002-12-01-03 NaN NaN	
58 0 -13.3333 118.9999 -13.3333 118.9999 1.203088e+04 1.00 221.83 212.83 2002-12-01-03 NaN NaN	
59 0 -14.0000 189.3331 -14.0000 189.3331 9.328971e+03 0.80 230.52 228.23 2002-12-01-03 NaN NaN	
60 0 -17.6666 211.3331 -17.6666 211.3331 9.155702e+03 0.27 231.10 228.23 2002-12-01-03 NaN NaN	
61 0 -18.6666 185.3331 -18.6666 185.6665 1.562600e+04 0.32 227.06 221.54 2002-12-01-03 NaN NaN	
62 0 -19.3333 196.3331 -19.3333 196.3331 6.478984e+03 NaN 227.02 222.20 2002-12-01-03 NaN NaN	
63 0 -25.3333 311.9997 -25.3333 312.3330 4.474697e+04 0.41 228.28 220.87 2002-12-01-03 NaN NaN	
64 0 -29.0000 239.9998 -29.3333 239.6664 2.760289e+04 0.51 228.37 221.54 2002-12-01-03 NaN NaN	
65 0 -28.3333 248.6664 -28.3333 248.9997 1.330124e+04 0.70 230.72 225.55 2002-12-01-03 NaN NaN	
66 0 -30.0000 241.6664 -30.0000 241.6664 5.956726e+03 NaN 232.65 232.24 2002-12-01-03 NaN NaN	
67 6 10.6667 328.9997 10.3333 328.9997 1.485484e+04 0.59 228.96 223.54 2002-12-01-00 69.25 45.0	
67 6 11.6667 330.3330 11.6667 330.3330 6.723773e+03 NaN 231.84 229.57 2002-12-01-03 24.71 -90.0	
67 6 11.0000 330.3330 11.0000 330.3330 9.444495e+03 NaN 230.33 228.90 2002-12-01-06 NaN NaN	
68 6 9.0000 153.9998 9.3333 153.9998 5.425710e+04 0.74 226.76 214.17 2002-12-01-00 62.17 168.7	
68 6 9.6667 152.3332 9.6667 152.3332 9.480038e+03 0.96 225.84 222.20 2002-12-01-03 27.30 153.4	
68 6 10.0000 151.6665 10.0000 151.6665 6.761783e+03 NaN 228.50 221.54 2002-12-01-06 NaN NaN	
69 6 10.6667 183.3331 10.6667 183.3331 4.051903e+04 0.29 224.81 210.83 2002-12-01-00 12.36 90.0	
