ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.3333 277.3330 29.3333 277.6664 1.556147e+04 0.39 228.38 224.88 1987-08-01-00 NaN NaN	
2 0 28.0000 110.6665 28.0000 110.6665 7.270429e+03 0.60 227.89 224.21 1987-08-01-00 NaN NaN	
3 0 25.3333 282.3330 25.3333 282.3330 8.695189e+03 0.80 227.94 222.87 1987-08-01-00 NaN NaN	
4 0 25.0000 91.3332 25.0000 91.6666 1.618607e+04 0.54 227.76 207.48 1987-08-01-00 NaN NaN	
5 0 21.0000 3.3333 21.0000 3.3333 1.539609e+04 0.51 225.66 221.54 1987-08-01-00 NaN NaN	
6 0 15.0000 199.9998 15.0000 199.9998 6.636996e+03 NaN 227.96 218.19 1987-08-01-00 NaN NaN	
7 0 12.6667 33.0000 12.6667 33.0000 1.742105e+04 0.78 225.40 218.19 1987-08-01-00 NaN NaN	
8 0 12.3333 278.3330 12.3333 278.3330 1.341518e+04 0.37 229.30 223.54 1987-08-01-00 NaN NaN	
9 0 12.3333 192.6665 12.3333 192.6665 6.712164e+03 0.74 217.92 210.16 1987-08-01-00 NaN NaN	
10 0 11.0000 283.9997 11.0000 283.9997 2.696315e+04 0.49 228.30 220.87 1987-08-01-00 NaN NaN	
11 0 9.6667 30.0000 9.6667 30.0000 1.489166e+04 0.67 227.56 222.20 1987-08-01-00 NaN NaN	
12 0 9.3333 35.3333 9.0000 35.0000 5.423721e+03 NaN 231.91 230.24 1987-08-01-00 NaN NaN	
13 0 9.6667 136.3332 9.6667 135.9999 5.418536e+03 NaN 225.38 220.87 1987-08-01-00 NaN NaN	
14 0 8.6667 294.3330 8.6667 293.9997 2.444790e+04 0.47 220.46 206.81 1987-08-01-00 NaN NaN	
15 0 7.0000 106.6666 7.0000 106.9999 5.453284e+03 NaN 225.22 222.20 1987-08-01-00 NaN NaN	
16 0 3.3333 26.3333 3.3333 26.3333 1.782953e+04 0.78 229.26 222.87 1987-08-01-00 NaN NaN	
17 0 1.6667 281.6664 1.6667 281.6664 4.805673e+04 0.41 221.57 196.10 1987-08-01-00 NaN NaN	
18 0 1.6667 70.3333 1.6667 70.3333 9.612303e+03 0.38 225.26 216.85 1987-08-01-00 NaN NaN	
19 0 1.0000 153.9998 1.0000 153.9998 6.868076e+03 NaN 226.49 224.88 1987-08-01-00 NaN NaN	
20 0 1.0000 155.9998 1.0000 155.9998 1.648345e+04 0.65 219.97 200.12 1987-08-01-00 NaN NaN	
