ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.3333 141.3332 29.3333 141.3332 2.512718e+04 0.37 226.92 216.18 2002-11-01-00 NaN NaN	
2 0 21.3333 128.3332 21.3333 128.3332 1.408488e+04 0.38 211.13 196.77 2002-11-01-00 NaN NaN	
3 0 21.6666 261.9997 21.6666 261.9997 7.666343e+03 NaN 222.20 217.52 2002-11-01-00 NaN NaN	
4 0 17.0000 111.6665 17.0000 111.6665 6.566504e+03 NaN 228.76 217.52 2002-11-01-00 NaN NaN	
5 0 16.3333 95.9999 16.3333 95.9999 5.273419e+03 0.00 225.22 218.86 2002-11-01-00 NaN NaN	
6 0 15.3333 147.6665 15.3333 147.6665 9.276312e+03 0.54 224.50 214.84 2002-11-01-00 NaN NaN	
7 0 14.6667 82.6666 14.6667 82.6666 5.311998e+03 NaN 225.72 219.53 2002-11-01-00 NaN NaN	
8 0 12.0000 141.3332 12.0000 141.3332 1.478137e+04 0.59 225.31 213.50 2002-11-01-00 NaN NaN	
9 0 9.3333 127.3332 9.3333 126.9999 5.419855e+03 NaN 229.06 226.89 2002-11-01-00 NaN NaN	
10 0 9.0000 246.9997 9.0000 246.9997 6.786938e+03 0.00 225.95 220.87 2002-11-01-00 NaN NaN	
11 0 7.3333 254.6664 7.3333 254.6664 6.814860e+03 0.00 230.37 228.23 2002-11-01-00 NaN NaN	
12 0 6.3333 17.3333 6.3333 17.3333 1.365589e+04 0.52 229.17 223.54 2002-11-01-00 NaN NaN	
13 0 6.0000 303.9997 6.0000 303.9997 6.831377e+03 0.00 224.61 210.16 2002-11-01-00 NaN NaN	
14 0 0.0000 63.6666 0.0000 63.6666 9.616604e+03 NaN 226.60 221.54 2002-11-01-00 NaN NaN	
15 0 -0.6667 65.3333 -0.6667 65.3333 6.868541e+03 NaN 223.28 214.17 2002-11-01-00 NaN NaN	
16 0 -4.6667 305.3330 -4.6667 305.3330 1.369363e+04 0.63 218.93 206.81 2002-11-01-00 NaN NaN	
17 0 -5.6667 90.9999 -5.6667 90.9999 1.230364e+04 NaN 228.30 223.54 2002-11-01-00 NaN NaN	
18 0 -5.6667 29.6666 -5.6667 29.6666 6.836204e+03 0.00 219.39 202.80 2002-11-01-00 NaN NaN	
19 0 -6.6667 168.3332 -6.6667 168.3332 2.592236e+04 0.94 220.48 205.47 2002-11-01-00 NaN NaN	
20 0 -6.6667 186.9998 -7.0000 186.9998 5.457088e+03 NaN 229.06 226.89 2002-11-01-00 NaN NaN	
21 0 -7.6667 62.3333 -7.6667 62.3333 6.808647e+03 0.00 224.35 213.50 2002-11-01-00 NaN NaN	
22 0 -6.3333 75.9999 -6.3333 75.9999 9.556126e+03 0.80 221.34 213.50 2002-11-01-00 NaN NaN	
23 0 -9.6667 170.6665 -9.6667 170.6665 6.774159e+03 NaN 221.27 218.86 2002-11-01-00 NaN NaN	
24 0 -10.0000 146.9998 -10.0000 146.9998 6.767426e+03 0.00 222.34 212.17 2002-11-01-00 NaN NaN	
25 0 -10.0000 294.6664 -10.0000 294.6664 2.164925e+04 0.48 223.63 213.50 2002-11-01-00 NaN NaN	
26 0 -10.6667 66.9999 -10.6667 66.6666 1.080044e+04 0.72 226.72 218.86 2002-11-01-00 NaN NaN	
27 0 -11.3333 307.3330 -11.3333 307.3330 1.078064e+04 0.65 225.80 218.19 2002-11-01-00 NaN NaN	
28 0 -12.0000 298.6664 -12.0000 298.6664 8.064239e+03 NaN 227.78 225.55 2002-11-01-00 NaN NaN	
29 0 -13.0000 285.6664 -13.0000 285.6664 1.071572e+04 0.81 228.48 224.21 2002-11-01-00 NaN NaN	
30 0 -15.6667 166.6665 -15.6667 166.6665 5.295360e+03 NaN 229.40 226.22 2002-11-01-00 NaN NaN	
31 0 -21.3333 316.6664 -21.3333 316.6664 2.303969e+04 0.54 226.48 214.84 2002-11-01-00 NaN NaN	
32 0 -28.0000 336.3330 -28.0000 336.3330 2.065065e+04 0.37 231.22 228.23 2002-11-01-00 NaN NaN	
33 3 16.6666 178.9998 16.6666 178.9998 1.446548e+04 0.00 222.27 214.17 2002-11-01-00 47.34 180.0	
33 3 16.6666 177.6665 16.6666 177.6665 1.711828e+04 0.34 220.71 212.83 2002-11-01-03 NaN NaN	
34 3 11.0000 165.3332 11.0000 165.3332 2.697977e+04 0.73 221.94 208.82 2002-11-01-00 27.52 116.6	
