ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 25.3333 304.9997 25.3333 304.9997 1.242359e+04 0.30 227.56 222.20 1999-10-01-00 NaN NaN	
2 0 23.0000 264.9997 23.0000 264.9997 2.273372e+04 0.48 229.49 220.87 1999-10-01-00 NaN NaN	
3 0 22.6666 279.6664 22.6666 279.6664 1.395074e+04 0.30 222.57 213.50 1999-10-01-00 NaN NaN	
4 0 18.6666 287.6664 18.6666 287.6664 5.203550e+03 NaN 224.05 216.85 1999-10-01-00 NaN NaN	
5 0 16.3333 267.9997 16.0000 267.9997 9.228384e+03 0.60 226.03 214.84 1999-10-01-00 NaN NaN	
6 0 16.3333 261.6664 16.6666 261.3331 5.268924e+03 NaN 229.06 223.54 1999-10-01-00 NaN NaN	
7 0 15.6667 108.9999 15.6667 108.9999 7.940859e+03 0.60 224.77 214.17 1999-10-01-00 NaN NaN	
8 0 13.3333 36.3333 13.3333 36.3333 9.353678e+03 0.96 219.43 210.16 1999-10-01-00 NaN NaN	
9 0 12.3333 35.3333 12.3333 35.6666 1.476302e+04 0.57 227.19 217.52 1999-10-01-00 NaN NaN	
10 0 12.0000 279.9997 12.3333 279.9997 6.715487e+03 NaN 229.43 227.56 1999-10-01-00 NaN NaN	
11 0 10.0000 37.0000 10.0000 37.3333 6.763239e+03 0.00 226.62 219.53 1999-10-01-00 NaN NaN	
12 0 10.0000 82.6666 9.6667 82.6666 6.767380e+03 NaN 220.60 214.17 1999-10-01-00 NaN NaN	
13 0 10.0000 299.6664 10.0000 299.6664 6.766015e+03 NaN 227.69 226.89 1999-10-01-00 NaN NaN	
14 0 8.6667 33.6666 8.6667 33.6666 1.357473e+04 0.33 230.77 227.56 1999-10-01-00 NaN NaN	
15 0 8.3333 73.9999 8.3333 73.9999 4.756607e+04 0.71 223.43 212.17 1999-10-01-00 NaN NaN	
16 0 7.6667 194.6665 8.0000 194.3331 5.443941e+03 NaN 218.69 207.48 1999-10-01-00 NaN NaN	
17 0 7.6667 203.6665 8.0000 203.6665 5.443941e+03 NaN 218.86 212.83 1999-10-01-00 NaN NaN	
18 0 7.0000 151.9998 7.0000 151.6665 1.363044e+04 0.31 225.95 213.50 1999-10-01-00 NaN NaN	
19 0 6.3333 276.6664 6.3333 276.6664 4.234035e+04 0.45 228.42 214.84 1999-10-01-00 NaN NaN	
20 0 5.6667 324.3330 5.6667 324.3330 6.834626e+03 NaN 222.74 218.19 1999-10-01-00 NaN NaN	
21 0 5.0000 178.3331 4.6667 178.3331 8.212797e+03 0.29 225.33 212.17 1999-10-01-00 NaN NaN	
22 0 4.0000 72.6666 4.0000 72.6666 1.233462e+04 0.43 228.90 224.21 1999-10-01-00 NaN NaN	
23 0 2.6667 306.6664 2.6667 306.6664 1.646873e+04 0.70 224.77 216.18 1999-10-01-00 NaN NaN	
24 0 1.0000 284.6664 1.0000 284.6664 1.510994e+04 0.60 226.77 217.52 1999-10-01-00 NaN NaN	
25 0 0.6667 297.6664 0.6667 297.6664 1.236271e+04 0.47 227.19 218.86 1999-10-01-00 NaN NaN	
26 0 0.6667 280.3330 0.6667 280.3330 1.785796e+04 0.40 219.99 214.84 1999-10-01-00 NaN NaN	
27 0 -1.3333 281.6664 -1.3333 281.6664 9.614186e+03 0.67 230.24 226.22 1999-10-01-00 NaN NaN	
28 0 -3.6667 288.6664 -3.6667 288.6664 9.598405e+03 0.19 222.20 211.50 1999-10-01-00 NaN NaN	
29 0 -8.0000 82.6666 -8.0000 82.6666 8.163595e+03 0.58 232.02 230.91 1999-10-01-00 NaN NaN	
30 0 -8.6667 101.9999 -8.6667 101.6666 5.434858e+03 NaN 227.89 224.88 1999-10-01-00 NaN NaN	
31 0 -9.6667 303.6664 -9.6667 303.6664 9.479946e+03 0.63 228.52 224.21 1999-10-01-00 NaN NaN	
32 0 -10.6667 292.9997 -10.6667 292.9997 1.350058e+04 0.61 224.75 214.84 1999-10-01-00 NaN NaN	
33 0 -12.0000 180.6665 -12.0000 180.6665 5.378436e+03 NaN 224.55 221.54 1999-10-01-00 NaN NaN	
34 0 -16.6666 302.9997 -16.6666 302.9997 1.447919e+04 0.54 221.72 213.50 1999-10-01-00 NaN NaN	
35 0 -19.3333 20.0000 -19.0000 20.0000 1.167729e+04 0.43 229.42 227.56 1999-10-01-00 NaN NaN	
36 0 -23.3333 331.9997 -23.0000 331.6663 1.010405e+04 0.45 230.91 224.88 1999-10-01-00 NaN NaN	
37 0 -28.6666 259.9997 -28.6666 259.9997 7.106871e+04 0.88 227.18 218.19 1999-10-01-00 NaN NaN	
38 0 -29.3333 230.3331 -28.6666 230.3331 1.079024e+04 0.90 229.79 220.87 1999-10-01-00 NaN NaN	
39 3 20.0000 269.6664 20.3333 269.6664 5.803160e+04 0.61 215.20 196.77 1999-10-01-00 26.28 -153.4	
39 3 20.0000 269.3330 20.0000 268.9997 6.326634e+04 0.62 219.66 204.13 1999-10-01-03 NaN NaN	
40 3 15.6667 121.9999 15.6667 121.9999 1.455459e+04 0.49 218.37 203.46 1999-10-01-00 12.35 90.0	
40 3 16.0000 121.9999 16.0000 121.9999 2.903863e+04 0.42 216.45 204.13 1999-10-01-03 NaN NaN	
41 3 14.3333 132.9999 14.6667 132.9999 1.729123e+04 0.77 221.69 212.83 1999-10-01-00 24.71 90.0	
41 3 15.3333 132.9999 15.3333 132.9999 6.622269e+03 NaN 227.43 222.87 1999-10-01-03 NaN NaN	
42 3 8.6667 218.6664 8.6667 218.6664 1.900941e+04 0.46 228.90 222.20 1999-10-01-00 27.36 153.4	
42 3 9.0000 217.9998 9.0000 217.9998 9.498184e+03 0.58 228.04 224.88 1999-10-01-03 NaN NaN	
43 3 7.0000 324.9997 7.3333 324.9997 8.178430e+03 NaN 221.65 216.18 1999-10-01-00 24.71 90.0	
43 3 8.0000 324.9997 8.0000 324.9997 8.164423e+04 0.48 219.84 205.47 1999-10-01-03 NaN NaN	
44 3 6.6667 322.6663 7.0000 322.6663 5.456183e+03 NaN 221.87 217.52 1999-10-01-00 38.82 -161.6	
44 3 6.6667 321.6663 6.6667 321.6663 1.364204e+04 0.41 222.74 210.83 1999-10-01-03 NaN NaN	
45 3 -1.0000 25.3333 -1.0000 25.3333 5.494637e+03 NaN 231.24 230.91 1999-10-01-00 82.88 116.6	
45 3 1.0000 24.6666 1.0000 24.3333 8.241840e+03 NaN 229.34 227.56 1999-10-01-03 NaN NaN	
46 3 -7.3333 76.3333 -7.3333 76.3333 2.180192e+04 0.55 226.22 216.85 1999-10-01-00 74.53 -170.5	
46 3 -7.6667 74.3333 -7.6667 74.3333 9.529574e+03 0.72 231.10 230.24 1999-10-01-03 NaN NaN	
47 3 -7.6667 69.6666 -7.6667 69.6666 5.445031e+03 NaN 228.73 226.89 1999-10-01-00 12.24 0.0	
47 3 -7.6667 69.9999 -7.6667 69.9999 1.633581e+04 0.56 226.89 220.87 1999-10-01-03 NaN NaN	
48 0 21.3333 125.9999 21.3333 125.9999 8.960536e+03 0.54 225.55 219.53 1999-10-01-03 NaN NaN	
49 0 19.3333 99.6666 19.6666 99.6666 5.180021e+03 NaN 228.56 225.55 1999-10-01-03 NaN NaN	
50 3 20.3333 299.6664 20.3333 299.6664 1.675208e+04 0.21 226.68 216.85 1999-10-01-00 59.29 -11.3	
50 3 20.0000 301.3330 20.0000 301.3330 4.905909e+04 0.56 219.83 208.82 1999-10-01-03 NaN NaN	
51 0 16.3333 138.6665 16.3333 138.6665 9.223978e+03 0.80 226.70 221.54 1999-10-01-03 NaN NaN	
52 0 14.6667 282.6664 14.3333 282.6664 2.659365e+04 0.47 225.82 216.18 1999-10-01-03 NaN NaN	
53 0 14.0000 131.9999 14.0000 131.6665 1.466867e+04 0.55 227.38 217.52 1999-10-01-03 NaN NaN	
54 0 11.6667 147.6665 12.0000 147.6665 5.378436e+03 NaN 221.87 218.19 1999-10-01-03 NaN NaN	
55 0 10.3333 21.0000 10.3333 21.0000 6.756048e+03 NaN 231.31 230.24 1999-10-01-03 NaN NaN	
56 0 6.3333 62.3333 6.6667 61.9999 8.189842e+03 NaN 222.54 210.16 1999-10-01-03 NaN NaN	
57 0 6.0000 320.6663 5.6667 320.6663 6.832955e+03 NaN 226.22 217.52 1999-10-01-03 NaN NaN	
58 0 5.0000 56.6666 5.0000 56.6666 5.474331e+03 NaN 226.39 220.20 1999-10-01-03 NaN NaN	
59 0 4.3333 15.0000 4.3333 15.0000 6.848162e+03 0.00 221.94 215.51 1999-10-01-03 NaN NaN	
60 0 2.0000 138.9998 2.0000 138.6665 5.491290e+03 NaN 222.20 217.52 1999-10-01-03 NaN NaN	
61 0 1.3333 118.6665 1.3333 118.6665 1.648131e+04 0.65 225.83 213.50 1999-10-01-03 NaN NaN	
