ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.6666 81.9999 29.6666 81.9999 1.912680e+04 0.76 226.89 220.87 1987-04-01-00 NaN NaN	
2 0 27.0000 73.6666 26.6666 73.3333 2.083779e+04 0.31 224.80 215.51 1987-04-01-00 NaN NaN	
3 0 24.6666 29.6666 24.6666 29.6666 2.121306e+04 0.32 229.06 223.54 1987-04-01-00 NaN NaN	
4 0 10.3333 11.3333 10.3333 11.3333 9.463383e+03 0.39 221.54 213.50 1987-04-01-00 NaN NaN	
5 0 9.0000 248.6664 9.0000 248.3331 5.427540e+03 0.00 228.56 226.22 1987-04-01-00 NaN NaN	
6 0 6.3333 12.6667 6.3333 12.6667 1.229099e+04 NaN 216.70 210.83 1987-04-01-00 NaN NaN	
7 0 3.6667 271.3330 4.0000 270.9997 5.482924e+03 NaN 225.55 222.87 1987-04-01-00 NaN NaN	
8 0 3.0000 15.0000 3.0000 15.0000 2.743821e+04 0.77 216.11 196.77 1987-04-01-00 NaN NaN	
9 0 3.6667 91.3332 3.6667 90.9999 1.371184e+04 0.33 216.38 202.13 1987-04-01-00 NaN NaN	
10 0 3.3333 346.9996 3.3333 347.3330 1.234187e+04 0.69 219.01 211.50 1987-04-01-00 NaN NaN	
11 0 3.0000 272.3330 3.0000 272.3330 5.487269e+03 NaN 224.38 216.18 1987-04-01-00 NaN NaN	
12 0 3.3333 80.3333 3.3333 80.3333 3.017655e+04 0.40 221.84 210.16 1987-04-01-00 NaN NaN	
13 0 1.3333 142.9998 1.3333 142.9998 3.845063e+04 0.45 224.88 209.49 1987-04-01-00 NaN NaN	
14 0 2.3333 177.9998 2.3333 177.9998 1.647108e+04 0.74 220.64 209.49 1987-04-01-00 NaN NaN	
15 0 -0.3333 191.9998 -0.3333 191.9998 6.868983e+03 NaN 227.83 225.55 1987-04-01-00 NaN NaN	
16 0 -2.0000 272.9997 -1.6667 272.9997 5.492406e+03 NaN 228.90 222.20 1987-04-01-00 NaN NaN	
17 0 -3.3333 116.3332 -3.3333 116.3332 1.097131e+04 0.82 218.11 206.14 1987-04-01-00 NaN NaN	
