ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 25.3333 48.0000 25.3333 48.0000 2.485360e+04 0.89 230.00 226.89 2007-02-01-00 NaN NaN	
2 0 25.0000 352.6663 25.0000 352.6663 6.218678e+03 NaN 228.50 222.87 2007-02-01-00 NaN NaN	
3 0 22.6666 1.3333 22.6666 1.3333 7.603017e+03 0.39 229.01 226.89 2007-02-01-00 NaN NaN	
4 0 6.6667 141.6665 6.6667 141.3332 5.456183e+03 NaN 222.37 217.52 2007-02-01-00 NaN NaN	
5 0 6.0000 156.6665 6.0000 156.6665 1.913073e+04 0.70 229.61 225.55 2007-02-01-00 NaN NaN	
6 0 5.0000 149.3332 5.0000 149.3332 1.915493e+04 0.41 229.09 223.54 2007-02-01-00 NaN NaN	
7 0 1.6667 153.6665 1.6667 153.6665 3.569876e+04 0.32 228.31 217.52 2007-02-01-00 NaN NaN	
8 0 2.0000 83.9999 2.0000 83.9999 1.235723e+04 0.45 228.60 222.20 2007-02-01-00 NaN NaN	
9 0 1.0000 321.9997 1.3333 321.9997 5.494079e+03 NaN 227.89 224.21 2007-02-01-00 NaN NaN	
10 0 0.6667 287.9997 0.6667 287.9997 8.242398e+03 0.58 221.31 212.83 2007-02-01-00 NaN NaN	
11 0 1.0000 331.6663 1.0000 331.6663 1.510964e+04 0.30 226.71 219.53 2007-02-01-00 NaN NaN	
12 0 -0.3333 156.6665 -0.3333 156.6665 5.357514e+04 0.86 223.65 208.15 2007-02-01-00 NaN NaN	
13 0 0.3333 136.6665 0.3333 136.6665 6.868983e+03 0.00 228.09 225.55 2007-02-01-00 NaN NaN	
14 0 -0.3333 333.9997 -0.3333 333.9997 2.335373e+04 0.30 227.87 220.20 2007-02-01-00 NaN NaN	
15 0 -1.3333 325.9997 -1.3333 325.9997 1.510785e+04 0.48 225.79 219.53 2007-02-01-00 NaN NaN	
16 0 -1.6667 124.6665 -1.6667 124.6665 6.866356e+03 NaN 231.17 229.57 2007-02-01-00 NaN NaN	
17 0 -5.0000 100.9999 -5.0000 100.9999 6.843541e+03 NaN 228.09 222.87 2007-02-01-00 NaN NaN	
18 0 -4.6667 162.9998 -5.0000 162.9998 1.369031e+04 0.70 227.89 221.54 2007-02-01-00 NaN NaN	
19 0 -10.0000 28.3333 -10.0000 28.3333 1.353485e+04 0.00 225.35 219.53 2007-02-01-00 NaN NaN	
20 0 -11.6667 29.6666 -11.6667 29.3333 5.381714e+03 NaN 221.70 218.19 2007-02-01-00 NaN NaN	
21 0 -12.0000 160.9998 -12.0000 160.9998 1.746243e+04 0.44 220.25 205.47 2007-02-01-00 NaN NaN	
22 0 -17.0000 307.9997 -17.0000 307.9997 1.314925e+04 0.74 224.55 216.18 2007-02-01-00 NaN NaN	
23 0 -21.3333 94.9999 -21.3333 94.9999 7.675001e+03 NaN 229.46 228.23 2007-02-01-00 NaN NaN	
24 0 -23.6666 76.6666 -23.6666 76.3333 2.641172e+04 0.22 228.87 221.54 2007-02-01-00 NaN NaN	
25 0 -22.3333 302.9997 -22.3333 303.3330 6.350738e+03 NaN 230.64 228.23 2007-02-01-00 NaN NaN	
26 0 -23.0000 80.9999 -23.0000 80.9999 6.329199e+03 0.00 230.10 228.23 2007-02-01-00 NaN NaN	
27 0 -24.3333 19.0000 -24.3333 18.6666 1.251754e+04 0.61 227.16 218.19 2007-02-01-00 NaN NaN	
28 0 -26.0000 228.6664 -26.0000 228.6664 7.401503e+03 0.21 231.80 228.23 2007-02-01-00 NaN NaN	
29 0 -25.6666 85.3332 -25.6666 85.3332 1.113028e+04 NaN 229.57 224.88 2007-02-01-00 NaN NaN	
30 0 -27.0000 230.9998 -27.0000 230.6664 4.650184e+04 0.47 225.57 218.86 2007-02-01-00 NaN NaN	
31 3 29.6666 216.9998 30.0000 216.9998 2.265285e+04 0.32 230.48 226.22 2007-02-01-00 37.07 -90.0	
31 3 29.0000 216.9998 29.0000 216.9998 3.362571e+04 0.77 230.07 226.22 2007-02-01-03 NaN NaN	
32 3 20.3333 352.3330 20.3333 352.3330 2.578827e+04 0.69 231.17 228.90 2007-02-01-00 23.17 180.0	
32 3 20.3333 351.6663 20.3333 351.6663 5.155528e+03 NaN 232.58 231.57 2007-02-01-03 NaN NaN	
33 3 -2.0000 337.3330 -2.0000 337.3330 3.294821e+04 0.45 221.81 210.83 2007-02-01-00 39.05 161.6	
33 3 -1.6667 336.3330 -1.6667 336.3330 1.785296e+04 0.70 227.82 219.53 2007-02-01-03 NaN NaN	
34 3 -3.3333 183.6665 -3.3333 183.6665 1.097224e+04 0.82 212.75 201.46 2007-02-01-00 12.35 90.0	
34 3 -3.0000 183.6665 -3.0000 183.6665 1.783680e+04 0.83 223.39 215.51 2007-02-01-03 NaN NaN	
35 3 -4.3333 314.6664 -4.3333 314.6664 4.658084e+04 0.82 216.65 206.14 2007-02-01-00 44.52 123.7	
35 3 -3.0000 313.9997 -3.3333 313.9997 3.566362e+04 0.69 228.38 221.54 2007-02-01-03 NaN NaN	
36 3 -6.6667 164.3332 -6.6667 163.9998 2.593010e+04 0.64 220.58 200.12 2007-02-01-00 38.84 161.6	
36 3 -6.3333 162.9998 -6.3333 162.9998 5.463421e+03 NaN 222.87 216.85 2007-02-01-03 NaN NaN	
37 3 -7.3333 203.3331 -7.3333 203.3331 9.534883e+03 NaN 220.48 209.49 2007-02-01-00 0.00 0.0	
37 3 -7.3333 203.3331 -7.3333 203.3331 1.499002e+04 0.19 228.11 222.87 2007-02-01-03 NaN NaN	
38 3 -8.3333 20.6666 -8.3333 21.0000 9.515137e+03 NaN 225.65 217.52 2007-02-01-00 36.67 0.0	
38 3 -8.6667 22.0000 -8.3333 22.0000 9.510366e+03 NaN 228.23 224.88 2007-02-01-03 NaN NaN	
39 3 -10.3333 289.9997 -10.3333 289.9997 5.404657e+03 NaN 218.69 205.47 2007-02-01-00 71.78 121.0	
39 3 -8.6667 288.9997 -8.6667 288.9997 4.888930e+04 0.65 218.34 207.48 2007-02-01-03 NaN NaN	
40 3 -16.6666 138.3332 -16.6666 138.6665 2.501005e+04 0.41 219.84 202.13 2007-02-01-00 11.84 0.0	
40 3 -16.6666 138.6665 -16.6666 138.9998 4.077392e+04 0.66 209.49 192.09 2007-02-01-03 NaN NaN	
41 3 -20.6666 75.3333 -20.3333 74.9999 5.147218e+03 NaN 232.41 231.57 2007-02-01-00 26.28 26.6	
41 3 -20.3333 75.6666 -20.0000 75.6666 6.446532e+03 0.00 230.64 229.57 2007-02-01-03 NaN NaN	
42 3 -24.0000 23.0000 -23.6666 23.0000 2.386056e+04 0.75 225.87 218.19 2007-02-01-00 24.71 90.0	
42 3 -23.0000 23.0000 -23.0000 23.0000 2.400422e+04 0.47 228.19 220.87 2007-02-01-03 NaN NaN	
43 3 -23.6666 214.3331 -23.6666 214.3331 6.297714e+03 0.00 225.69 224.21 2007-02-01-00 68.92 -9.5	
43 3 -24.0000 216.3331 -24.0000 216.3331 6.281651e+03 NaN 228.09 225.55 2007-02-01-03 NaN NaN	
44 0 30.0000 350.3330 30.0000 350.6663 5.948774e+03 NaN 230.50 226.89 2007-02-01-03 NaN NaN	
45 0 27.3333 49.9999 27.3333 49.6666 2.561731e+04 0.55 229.09 224.21 2007-02-01-03 NaN NaN	
46 0 26.0000 301.6664 26.0000 301.6664 1.110935e+04 0.53 226.59 219.53 2007-02-01-03 NaN NaN	
47 0 25.3333 50.9999 25.0000 50.9999 6.215279e+03 0.00 230.77 228.90 2007-02-01-03 NaN NaN	
48 0 22.3333 354.9996 22.3333 354.9996 1.270746e+04 0.28 228.96 224.88 2007-02-01-03 NaN NaN	
49 0 3.6667 353.3330 3.6667 353.3330 1.096838e+04 0.82 220.28 206.14 2007-02-01-03 NaN NaN	
50 0 1.3333 150.3332 1.3333 150.3332 5.493336e+03 NaN 224.21 220.20 2007-02-01-03 NaN NaN	
51 0 -0.6667 120.9999 -0.6667 120.9999 8.242398e+03 0.60 227.00 222.87 2007-02-01-03 NaN NaN	
52 0 -1.3333 7.6667 -1.3333 7.6667 8.240747e+03 0.55 215.18 202.13 2007-02-01-03 NaN NaN	
53 0 -2.6667 301.9997 -3.0000 301.9997 5.488850e+03 NaN 228.73 226.22 2007-02-01-03 NaN NaN	
54 0 -5.0000 166.3332 -5.0000 166.3332 1.094924e+04 0.46 228.23 216.18 2007-02-01-03 NaN NaN	
55 0 -4.6667 287.6664 -4.6667 287.6664 1.916499e+04 0.57 224.50 212.83 2007-02-01-03 NaN NaN	
56 0 -7.3333 290.9997 -7.3333 290.9997 5.452195e+03 NaN 231.41 230.24 2007-02-01-03 NaN NaN	
57 0 -7.6667 62.9999 -7.6667 62.9999 9.528485e+03 0.31 225.84 219.53 2007-02-01-03 NaN NaN	
58 0 -7.6667 169.3332 -7.6667 169.6665 5.448206e+03 NaN 231.57 228.90 2007-02-01-03 NaN NaN	
59 0 -7.6667 60.9999 -7.6667 60.9999 5.445031e+03 NaN 228.40 224.88 2007-02-01-03 NaN NaN	
60 0 -8.0000 303.3330 -8.0000 303.3330 1.224033e+04 0.60 228.30 222.87 2007-02-01-03 NaN NaN	
61 0 -10.0000 39.6666 -10.0000 39.6666 6.767426e+03 0.00 222.20 208.82 2007-02-01-03 NaN NaN	
62 0 -21.6666 73.9999 -21.6666 73.9999 1.916745e+04 0.23 231.53 228.90 2007-02-01-03 NaN NaN	
63 0 -21.0000 314.3330 -21.0000 313.9997 1.539058e+04 0.65 219.47 208.82 2007-02-01-03 NaN NaN	
64 0 -22.6666 215.9998 -22.3333 215.9998 1.649799e+04 0.51 226.89 223.54 2007-02-01-03 NaN NaN	
65 0 -23.6666 53.9999 -23.6666 53.9999 5.036259e+03 NaN 227.22 220.87 2007-02-01-03 NaN NaN	
66 0 -25.3333 207.9998 -25.3333 207.9998 6.208482e+03 NaN 228.50 223.54 2007-02-01-03 NaN NaN	
67 0 -26.3333 222.3331 -26.3333 222.3331 6.159723e+03 NaN 227.56 224.88 2007-02-01-03 NaN NaN	
68 6 26.0000 102.6666 26.3333 102.6666 3.331260e+04 0.40 230.93 226.22 2007-02-01-00 60.48 21.8	
68 6 27.0000 103.9999 27.0000 104.3332 9.803416e+03 0.00 232.50 232.24 2007-02-01-03 25.22 26.6	
68 6 27.3333 104.9999 27.3333 104.9999 1.219683e+04 0.45 231.51 229.57 2007-02-01-06 NaN NaN	
69 6 20.0000 354.9996 20.0000 354.9996 2.579116e+04 0.57 230.50 227.56 2007-02-01-00 27.29 116.6	
69 6 20.6666 354.6663 20.6666 354.6663 6.167256e+04 0.35 230.99 228.23 2007-02-01-03 27.27 63.4	
69 6 21.3333 354.9996 21.3333 354.9996 2.046138e+04 0.48 231.70 229.57 2007-02-01-06 NaN NaN	
70 6 9.6667 254.6664 9.6667 254.6664 2.166700e+04 0.72 230.49 227.56 2007-02-01-00 78.01 108.4	
70 6 11.6667 253.9997 11.6667 253.9997 1.720420e+05 0.42 228.55 218.86 2007-02-01-03 78.00 38.7	
70 6 13.3333 255.9997 13.0000 255.6664 8.420935e+04 0.32 229.46 222.20 2007-02-01-06 NaN NaN	
71 6 -1.6667 27.3333 -1.6667 27.3333 2.746547e+04 0.82 217.52 206.81 2007-02-01-00 17.47 -135.0	
71 6 -2.0000 27.0000 -2.0000 27.0000 3.569504e+04 0.45 223.08 211.50 2007-02-01-03 49.39 0.0	
71 6 -2.0000 28.3333 -2.0000 28.3333 1.098456e+04 0.00 228.81 224.88 2007-02-01-06 NaN NaN	
72 3 29.0000 209.9998 29.3333 209.9998 1.559644e+04 0.48 230.91 228.90 2007-02-01-03 64.62 180.0	
72 3 29.3333 207.6664 29.3333 207.9998 5.988252e+03 NaN 230.50 229.57 2007-02-01-06 NaN NaN	
73 3 29.0000 357.3329 28.6666 357.3329 1.202698e+04 0.44 230.77 227.56 2007-02-01-03 24.98 -153.4	
73 3 28.3333 356.9996 28.3333 356.6663 2.057151e+04 0.54 229.06 224.88 2007-02-01-06 NaN NaN	
74 3 6.6667 178.9998 6.6667 178.9998 1.227965e+04 0.67 222.58 213.50 2007-02-01-03 27.47 26.6	
74 3 7.0000 179.6665 7.0000 179.6665 1.499904e+04 0.76 224.03 212.83 2007-02-01-06 NaN NaN	
75 3 6.6667 180.9998 7.0000 180.9998 5.456183e+03 NaN 231.24 229.57 2007-02-01-03 12.35 -90.0	
75 3 6.6667 181.3331 6.6667 180.9998 8.187081e+03 0.25 226.89 217.52 2007-02-01-06 NaN NaN	
76 3 5.6667 332.3330 5.6667 332.6663 6.836251e+03 NaN 230.50 224.88 2007-02-01-03 66.22 21.8	
76 3 6.0000 334.3330 6.3333 334.3330 8.195132e+03 NaN 227.56 222.87 2007-02-01-06 NaN NaN	
77 3 -0.6667 153.6665 -0.6667 153.6665 1.785723e+04 0.79 230.39 226.89 2007-02-01-03 50.94 -166.0	
77 3 -1.0000 151.9998 -1.0000 152.3332 3.708554e+04 0.50 225.45 212.83 2007-02-01-06 NaN NaN	
78 3 -3.0000 164.3332 -3.0000 164.3332 2.606298e+04 0.38 227.77 221.54 2007-02-01-03 24.68 180.0	
78 3 -3.3333 163.6665 -3.0000 163.6665 3.977218e+04 0.26 226.24 217.52 2007-02-01-06 NaN NaN	
79 3 -2.0000 338.9996 -1.6667 338.9996 3.157886e+04 0.31 225.14 217.52 2007-02-01-03 24.70 0.0	
79 3 -1.6667 339.6663 -1.6667 339.6663 9.613233e+03 NaN 225.93 220.20 2007-02-01-06 NaN NaN	
80 3 -7.3333 286.9997 -7.3333 286.9997 2.044231e+04 0.50 223.77 203.46 2007-02-01-03 39.03 -71.6	
80 3 -8.3333 287.3330 -8.3333 287.3330 2.719577e+04 0.76 223.78 212.17 2007-02-01-06 NaN NaN	
81 3 -15.6667 27.6666 -15.6667 27.3333 3.173731e+04 0.44 221.12 206.81 2007-02-01-03 17.16 45.0	
81 3 -15.3333 27.6666 -15.3333 27.6666 1.060549e+04 0.50 225.30 218.19 2007-02-01-06 NaN NaN	
82 3 -16.6666 33.0000 -16.3333 33.0000 5.793817e+04 0.47 217.44 197.44 2007-02-01-03 0.00 0.0	
82 3 -16.3333 33.3333 -16.3333 33.0000 7.910107e+03 0.00 230.12 228.90 2007-02-01-06 NaN NaN	
83 3 -16.0000 317.3330 -16.0000 317.3330 7.919098e+03 0.00 231.80 230.24 2007-02-01-03 27.42 116.6	
83 3 -15.3333 316.9997 -15.3333 316.9997 7.953540e+03 0.73 232.24 230.91 2007-02-01-06 NaN NaN	
84 3 -21.3333 322.3330 -21.3333 322.3330 7.683788e+03 0.58 226.78 220.20 2007-02-01-03 37.06 90.0	
84 3 -20.3333 322.3330 -20.3333 322.3330 5.155572e+03 NaN 231.24 229.57 2007-02-01-06 NaN NaN	
85 3 -24.0000 227.3331 -24.0000 226.9998 3.639029e+04 0.28 224.70 211.50 2007-02-01-03 33.86 0.0	
85 3 -24.0000 227.9998 -24.0000 227.9998 1.882184e+04 0.70 228.18 217.52 2007-02-01-06 NaN NaN	
86 3 -26.3333 54.3333 -26.3333 54.3333 6.149108e+03 0.00 226.76 217.52 2007-02-01-03 11.07 0.0	
86 3 -26.3333 54.6666 -26.3333 54.6666 3.816350e+04 0.85 224.23 214.17 2007-02-01-06 NaN NaN	
87 0 29.6666 315.6664 29.6666 315.6664 1.073554e+04 0.59 226.89 220.87 2007-02-01-06 NaN NaN	
88 0 30.0000 356.6663 30.0000 356.6663 9.525990e+03 0.00 229.06 226.22 2007-02-01-06 NaN NaN	
89 0 29.0000 52.9999 28.6666 52.9999 1.803430e+04 0.56 231.26 228.90 2007-02-01-06 NaN NaN	
90 0 23.3333 3.3333 23.3333 3.6667 1.892480e+04 0.41 225.77 219.53 2007-02-01-06 NaN NaN	
91 0 22.3333 357.3329 22.3333 357.6663 6.360242e+04 0.76 228.42 220.87 2007-02-01-06 NaN NaN	
92 0 14.6667 131.3332 14.6667 131.3332 6.643135e+03 0.00 230.64 227.56 2007-02-01-06 NaN NaN	
93 0 8.3333 162.3332 8.3333 162.3332 1.495190e+04 0.40 222.63 212.83 2007-02-01-06 NaN NaN	
94 0 7.6667 151.3332 7.6667 151.3332 5.443849e+03 NaN 231.74 230.91 2007-02-01-06 NaN NaN	
95 0 6.6667 159.9998 7.0000 159.9998 5.456183e+03 NaN 223.71 219.53 2007-02-01-06 NaN NaN	
96 0 4.3333 346.9996 4.3333 346.9996 2.054744e+04 0.46 220.55 212.17 2007-02-01-06 NaN NaN	
97 0 2.6667 344.3330 2.6667 344.6663 8.233147e+03 NaN 224.66 219.53 2007-02-01-06 NaN NaN	
