ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.3333 190.9998 29.0000 190.9998 8.395351e+03 NaN 229.85 226.22 2003-12-01-00 NaN NaN	
2 0 28.6666 318.3330 28.6666 318.3330 1.086384e+04 0.79 231.13 226.89 2003-12-01-00 NaN NaN	
3 0 22.0000 180.3331 22.0000 180.3331 2.036799e+04 0.67 225.63 217.52 2003-12-01-00 NaN NaN	
4 0 18.6666 170.9998 18.3333 170.9998 1.562774e+04 0.29 231.46 227.56 2003-12-01-00 NaN NaN	
5 0 18.3333 315.6664 18.6666 315.6664 5.211246e+03 NaN 232.41 231.57 2003-12-01-00 NaN NaN	
6 0 11.0000 243.6664 11.0000 243.6664 6.739791e+04 0.57 227.56 215.51 2003-12-01-00 NaN NaN	
7 0 11.0000 284.9997 11.0000 284.9997 6.745853e+03 0.00 225.82 220.87 2003-12-01-00 NaN NaN	
8 0 9.3333 230.9998 9.0000 230.9998 1.762350e+04 0.29 229.00 222.87 2003-12-01-00 NaN NaN	
9 0 9.0000 61.6666 9.3333 61.6666 5.425040e+03 NaN 227.06 219.53 2003-12-01-00 NaN NaN	
10 0 8.0000 74.9999 8.0000 74.9999 1.087898e+04 0.00 219.95 210.83 2003-12-01-00 NaN NaN	
11 0 6.0000 97.9999 6.0000 97.6666 5.056150e+04 0.78 221.52 208.15 2003-12-01-00 NaN NaN	
12 0 4.3333 110.3332 4.0000 110.6665 4.931882e+04 0.38 213.89 198.11 2003-12-01-00 NaN NaN	
13 0 4.6667 150.6665 4.6667 150.6665 5.476978e+03 0.00 225.38 214.84 2003-12-01-00 NaN NaN	
14 0 3.0000 294.9997 3.0000 294.9997 1.234809e+04 0.40 222.73 212.83 2003-12-01-00 NaN NaN	
15 0 1.6667 282.9997 1.6667 282.9997 1.647852e+04 0.37 225.66 214.17 2003-12-01-00 NaN NaN	
16 0 2.0000 90.3332 2.0000 90.3332 6.865379e+03 0.00 224.88 214.17 2003-12-01-00 NaN NaN	
17 0 0.0000 108.3332 0.3333 108.3332 1.511106e+04 0.28 228.47 222.20 2003-12-01-00 NaN NaN	
18 0 -1.6667 311.3330 -1.6667 311.3330 1.373290e+04 0.70 221.54 212.83 2003-12-01-00 NaN NaN	
19 0 -3.6667 100.6666 -3.6667 100.6666 6.853923e+03 0.00 223.41 216.18 2003-12-01-00 NaN NaN	
20 0 -4.6667 292.3330 -4.6667 292.3330 5.476351e+03 NaN 226.22 222.20 2003-12-01-00 NaN NaN	
21 0 -8.0000 183.3331 -8.3333 183.3331 1.155961e+05 0.53 216.83 198.11 2003-12-01-00 NaN NaN	
22 0 -7.0000 116.6665 -7.0000 116.6665 1.363248e+04 0.60 216.18 204.80 2003-12-01-00 NaN NaN	
23 0 -8.0000 87.9999 -8.0000 87.6666 5.443941e+03 NaN 222.54 220.87 2003-12-01-00 NaN NaN	
