ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 28.0000 159.3332 28.0000 159.3332 7.281624e+03 0.60 229.34 226.22 2007-07-01-00 NaN NaN	
2 0 27.6666 171.3332 27.6666 171.3332 3.042848e+04 0.51 219.10 208.82 2007-07-01-00 NaN NaN	
3 0 25.6666 175.6665 25.6666 175.6665 2.472877e+04 0.36 227.19 217.52 2007-07-01-00 NaN NaN	
4 0 26.0000 158.3332 26.0000 158.3332 1.975586e+04 0.80 225.97 219.53 2007-07-01-00 NaN NaN	
5 0 26.0000 177.6665 26.0000 177.6665 6.170297e+03 0.00 225.82 219.53 2007-07-01-00 NaN NaN	
6 0 24.0000 253.9997 24.0000 253.9997 1.129199e+04 0.67 219.23 209.49 2007-07-01-00 NaN NaN	
7 0 22.6666 257.6664 22.6666 257.6664 5.953279e+04 0.36 220.24 205.47 2007-07-01-00 NaN NaN	
8 0 20.3333 102.9999 20.0000 102.9999 7.734692e+03 0.58 224.66 216.85 2007-07-01-00 NaN NaN	
9 0 20.3333 261.3331 20.3333 261.3331 5.285723e+04 0.78 223.38 208.82 2007-07-01-00 NaN NaN	
10 0 18.6666 84.6666 18.6666 84.6666 4.689193e+04 0.34 211.11 192.09 2007-07-01-00 NaN NaN	
11 0 16.0000 263.6664 16.0000 263.6664 9.239555e+03 0.45 226.89 215.51 2007-07-01-00 NaN NaN	
12 0 15.6667 163.9998 15.6667 163.9998 6.618132e+03 0.00 228.36 226.22 2007-07-01-00 NaN NaN	
13 0 15.0000 270.6664 15.0000 270.6664 6.639087e+03 0.00 217.25 205.47 2007-07-01-00 NaN NaN	
14 0 13.3333 156.3332 13.6667 156.3332 5.343385e+03 NaN 231.74 230.24 2007-07-01-00 NaN NaN	
15 0 13.3333 274.3330 13.3333 274.3330 5.343385e+03 NaN 217.35 204.80 2007-07-01-00 NaN NaN	
16 0 12.3333 232.3331 12.6667 231.9998 5.364960e+03 NaN 223.88 216.18 2007-07-01-00 NaN NaN	
17 0 12.0000 106.6666 12.0000 106.6666 5.375112e+03 NaN 229.23 226.89 2007-07-01-00 NaN NaN	
18 0 10.6667 75.6666 10.6667 75.9999 2.025513e+04 0.53 226.27 219.53 2007-07-01-00 NaN NaN	
19 0 9.6667 222.3331 9.6667 222.3331 5.418490e+03 NaN 227.89 225.55 2007-07-01-00 NaN NaN	
20 0 9.3333 266.6664 9.3333 266.6664 1.083971e+04 0.00 226.64 218.86 2007-07-01-00 NaN NaN	
21 0 8.0000 327.9997 8.0000 327.9997 6.799933e+03 0.00 224.88 221.54 2007-07-01-00 NaN NaN	
22 0 7.0000 269.3330 7.0000 269.3330 1.226787e+04 NaN 227.04 221.54 2007-07-01-00 NaN NaN	
23 0 5.0000 113.3332 5.0000 113.3332 5.474285e+03 NaN 230.24 227.56 2007-07-01-00 NaN NaN	
24 0 2.0000 168.6665 2.0000 168.3332 8.099796e+04 0.74 223.11 207.48 2007-07-01-00 NaN NaN	
25 0 3.6667 179.9998 3.3333 179.9998 9.598405e+03 NaN 226.22 217.52 2007-07-01-00 NaN NaN	
26 0 2.3333 292.6664 2.3333 292.6664 8.236191e+03 0.41 223.21 218.86 2007-07-01-00 NaN NaN	
27 0 1.6667 303.3330 1.6667 303.3330 1.785221e+04 0.83 221.64 211.50 2007-07-01-00 NaN NaN	
28 0 -1.3333 142.9998 -1.3333 142.9998 9.613977e+03 0.96 218.86 205.47 2007-07-01-00 NaN NaN	
29 0 -2.6667 143.6665 -2.6667 143.6665 6.860824e+03 0.00 221.13 214.84 2007-07-01-00 NaN NaN	
30 0 -3.3333 147.9998 -3.0000 147.9998 9.601635e+03 0.55 224.31 219.53 2007-07-01-00 NaN NaN	
31 0 -6.0000 159.9998 -5.6667 159.6665 5.466763e+03 NaN 226.22 220.20 2007-07-01-00 NaN NaN	
32 0 -24.3333 175.6665 -24.3333 175.6665 1.125923e+04 0.45 229.64 223.54 2007-07-01-00 NaN NaN	
33 0 -28.6666 233.6664 -28.6666 233.3331 7.232416e+03 0.00 228.67 224.21 2007-07-01-00 NaN NaN	
34 0 -29.6666 177.9998 -30.0000 177.6665 1.430485e+04 0.27 227.84 221.54 2007-07-01-00 NaN NaN	
35 3 27.3333 251.6664 27.3333 251.6664 7.567584e+04 0.36 214.16 200.79 2007-07-01-00 12.36 -90.0	
35 3 27.0000 251.6664 27.0000 251.6664 1.225511e+05 0.35 218.25 205.47 2007-07-01-03 NaN NaN	
36 3 15.6667 124.3332 15.6667 123.9999 5.291043e+03 0.00 225.22 222.20 2007-07-01-00 12.36 -90.0	
36 3 15.3333 123.9999 15.3333 123.9999 2.649244e+04 0.28 225.52 215.51 2007-07-01-03 NaN NaN	
37 3 5.6667 143.3332 6.0000 143.3332 5.466763e+03 NaN 215.68 211.50 2007-07-01-00 17.42 135.0	
37 3 6.3333 142.9998 6.3333 142.9998 5.459895e+03 NaN 229.23 224.88 2007-07-01-03 NaN NaN	
38 3 2.6667 306.3330 2.6667 305.9997 2.470304e+04 0.46 223.65 208.82 2007-07-01-00 27.61 -153.4	
38 3 2.3333 305.3330 2.3333 305.3330 1.510036e+04 0.31 225.13 217.52 2007-07-01-03 NaN NaN	
39 3 4.6667 124.6665 5.0000 124.9999 1.040325e+05 0.62 223.75 208.82 2007-07-01-00 36.92 180.0	
39 3 5.0000 123.6665 5.0000 123.9999 3.147729e+04 0.69 226.98 221.54 2007-07-01-03 NaN NaN	
40 3 2.6667 145.6665 2.6667 145.6665 9.606910e+03 0.38 223.26 216.18 2007-07-01-00 39.03 161.6	
40 3 3.0000 144.6665 3.0000 144.6665 5.488106e+03 NaN 226.89 222.20 2007-07-01-03 NaN NaN	
41 3 -3.6667 62.6666 -3.6667 62.3333 9.597825e+03 0.41 222.40 216.18 2007-07-01-00 12.33 0.0	
41 3 -3.6667 62.6666 -3.6667 62.6666 1.096985e+04 0.52 225.63 219.53 2007-07-01-03 NaN NaN	
42 3 -8.0000 187.9998 -8.0000 187.9998 3.809241e+04 0.68 216.56 204.13 2007-07-01-00 37.06 90.0	
42 3 -6.6667 187.9998 -7.0000 187.9998 8.186084e+03 0.39 229.34 224.21 2007-07-01-03 NaN NaN	
43 3 -28.6666 221.9998 -28.6666 221.9998 5.545824e+04 0.58 228.59 224.88 2007-07-01-00 65.45 -31.0	
43 3 -29.6666 223.6664 -29.6666 223.6664 3.227334e+04 0.72 225.40 220.87 2007-07-01-03 NaN NaN	
44 0 19.6666 111.3332 19.3333 111.3332 3.236614e+04 0.41 223.44 211.50 2007-07-01-03 NaN NaN	
45 0 19.6666 168.3332 19.6666 168.3332 9.058323e+03 0.38 226.99 223.54 2007-07-01-03 NaN NaN	
46 0 16.6666 110.9999 17.0000 110.9999 7.889544e+03 NaN 229.23 225.55 2007-07-01-03 NaN NaN	
47 0 15.3333 90.3332 15.0000 90.3332 6.628722e+03 0.00 231.04 228.90 2007-07-01-03 NaN NaN	
48 0 14.3333 248.6664 14.3333 248.6664 5.320183e+03 NaN 224.88 220.87 2007-07-01-03 NaN NaN	
49 0 13.6667 351.6663 13.6667 351.6663 2.002152e+04 0.71 211.76 196.10 2007-07-01-03 NaN NaN	
50 0 13.0000 280.6664 13.0000 280.6664 5.354354e+03 NaN 229.90 226.89 2007-07-01-03 NaN NaN	
51 0 12.3333 30.0000 12.3333 30.0000 1.207184e+04 0.62 227.63 221.54 2007-07-01-03 NaN NaN	
52 0 13.0000 250.6664 13.0000 250.6664 3.881844e+04 0.50 222.34 210.83 2007-07-01-03 NaN NaN	
53 0 10.6667 292.6664 10.6667 292.6664 5.397283e+03 NaN 230.40 226.89 2007-07-01-03 NaN NaN	
54 0 11.0000 262.6664 10.6667 262.3331 1.214309e+04 0.40 223.69 215.51 2007-07-01-03 NaN NaN	
55 0 9.6667 291.6664 9.6667 291.6664 1.083298e+04 0.82 227.81 218.86 2007-07-01-03 NaN NaN	
56 0 8.3333 292.3330 8.3333 292.3330 9.512728e+03 0.96 227.27 220.87 2007-07-01-03 NaN NaN	
57 0 7.6667 59.9999 7.6667 59.9999 8.168090e+03 NaN 228.56 226.22 2007-07-01-03 NaN NaN	
58 0 7.0000 64.3333 7.0000 64.3333 1.226814e+04 0.00 224.06 213.50 2007-07-01-03 NaN NaN	
59 0 7.0000 186.9998 7.0000 186.6665 5.455232e+03 NaN 230.74 227.56 2007-07-01-03 NaN NaN	
60 0 6.0000 9.0000 6.3333 9.0000 6.829706e+03 0.00 224.21 215.51 2007-07-01-03 NaN NaN	
61 0 4.3333 162.9998 4.3333 162.6665 1.095955e+04 0.46 221.87 212.83 2007-07-01-03 NaN NaN	
62 0 2.6667 53.6666 2.6667 53.6666 2.058215e+04 0.61 225.86 215.51 2007-07-01-03 NaN NaN	
63 0 2.0000 173.6665 2.0000 173.6665 5.491290e+03 NaN 227.56 220.20 2007-07-01-03 NaN NaN	
64 0 0.3333 157.3332 0.3333 157.6665 8.379226e+04 0.41 223.20 206.14 2007-07-01-03 NaN NaN	
65 0 1.0000 203.6665 1.0000 203.6665 9.615116e+03 0.39 227.46 219.53 2007-07-01-03 NaN NaN	
66 0 -4.0000 69.6666 -4.0000 69.6666 9.594270e+03 0.96 223.26 218.19 2007-07-01-03 NaN NaN	
67 0 -25.3333 177.9998 -25.3333 177.9998 8.688223e+03 0.45 230.71 228.90 2007-07-01-03 NaN NaN	
68 6 29.6666 78.3333 29.6666 78.3333 1.311509e+04 0.44 218.19 204.80 2007-07-01-00 10.74 180.0	
68 6 29.6666 77.9999 29.6666 77.9999 1.790174e+04 0.52 218.64 208.15 2007-07-01-03 0.00 0.0	
68 6 29.6666 77.9999 29.6666 77.9999 1.073559e+04 0.45 227.93 223.54 2007-07-01-06 NaN NaN	
69 6 18.3333 136.6665 18.3333 136.6665 1.304066e+04 0.48 223.41 215.51 2007-07-01-00 37.26 161.6	
69 6 18.6666 135.6665 18.6666 135.6665 3.513676e+04 0.45 222.50 208.82 2007-07-01-03 26.45 153.4	
69 6 19.0000 135.3332 19.0000 134.9999 2.859473e+04 0.35 229.78 225.55 2007-07-01-06 NaN NaN	
70 6 17.6666 262.6664 17.6666 262.6664 1.308009e+04 0.44 227.96 220.87 2007-07-01-00 27.36 116.6	
70 6 18.3333 262.3331 18.3333 262.3331 1.433451e+04 0.66 221.72 209.49 2007-07-01-03 17.03 135.0	
70 6 18.6666 261.9997 18.6666 261.9997 1.301530e+04 0.35 226.89 218.19 2007-07-01-06 NaN NaN	
71 6 15.6667 268.9997 16.0000 268.9997 2.512559e+04 0.62 219.10 200.79 2007-07-01-00 66.15 111.8	
71 6 17.6666 268.3330 17.6666 268.3330 6.278099e+04 0.45 219.95 204.80 2007-07-01-03 38.88 108.4	
71 6 18.6666 267.9997 18.6666 267.9997 6.505093e+03 NaN 231.17 229.57 2007-07-01-06 NaN NaN	
72 6 13.0000 74.6666 13.0000 74.6666 1.606306e+04 0.31 229.29 224.88 2007-07-01-00 17.26 -135.0	
72 6 12.6667 74.3333 12.6667 74.3333 1.474053e+04 0.37 224.70 218.86 2007-07-01-03 0.00 0.0	
72 6 12.3333 74.3333 12.6667 74.3333 2.146121e+04 0.76 226.85 220.87 2007-07-01-06 NaN NaN	
73 6 3.0000 130.6665 3.0000 130.6665 6.859987e+03 0.00 231.04 228.90 2007-07-01-00 24.71 -90.0	
73 6 2.3333 130.3332 2.3333 130.6665 1.784591e+04 0.63 227.82 222.20 2007-07-01-03 61.75 -143.1	
73 6 1.3333 129.3332 1.3333 129.3332 6.867146e+03 NaN 229.70 224.88 2007-07-01-06 NaN NaN	
74 6 2.3333 180.6665 2.3333 180.6665 6.862660e+03 0.00 221.40 216.18 2007-07-01-00 71.98 31.0	
74 6 3.0000 182.3331 3.3333 182.3331 3.429266e+04 0.33 226.03 214.17 2007-07-01-03 12.33 180.0	
74 6 3.0000 182.3331 3.3333 181.9998 1.783315e+04 0.49 222.77 209.49 2007-07-01-06 NaN NaN	
75 6 -28.6666 56.3333 -28.6666 56.3333 6.027040e+03 0.20 231.57 227.56 2007-07-01-00 56.89 -36.9	
75 6 -29.6666 57.6666 -29.6666 57.6666 1.193719e+04 0.69 229.77 226.89 2007-07-01-03 24.74 -26.6	
75 6 -30.0000 58.3333 -30.0000 58.3333 8.340212e+03 NaN 231.29 229.57 2007-07-01-06 NaN NaN	
76 6 -30.0000 233.3331 -30.0000 233.3331 9.529966e+03 0.00 224.30 216.18 2007-07-01-00 181.15 135.0	
76 6 -26.3333 229.9998 -26.3333 229.6664 4.517846e+05 0.65 214.97 202.13 2007-07-01-03 76.32 153.4	
76 6 -25.3333 227.6664 -25.3333 227.6664 1.984284e+04 0.63 218.27 205.47 2007-07-01-06 NaN NaN	
77 3 25.6666 153.3332 25.6666 153.3332 8.678027e+03 0.33 226.41 218.86 2007-07-01-03 66.69 31.0	
77 3 26.6666 154.9998 26.6666 154.9998 6.138368e+03 NaN 226.62 216.85 2007-07-01-06 NaN NaN	
78 3 22.6666 148.9998 22.6666 149.3332 1.395065e+04 0.25 220.93 211.50 2007-07-01-03 16.82 -135.0	
78 3 22.3333 148.9998 22.3333 148.9998 2.031931e+04 0.51 224.42 213.50 2007-07-01-06 NaN NaN	
79 3 10.0000 345.6663 10.0000 345.6663 5.408935e+03 NaN 225.22 218.86 2007-07-01-03 36.50 180.0	
79 3 10.0000 344.9996 10.0000 344.6663 1.082065e+04 0.53 223.04 217.52 2007-07-01-06 NaN NaN	
80 3 6.0000 207.3331 6.0000 207.3331 9.425367e+04 0.68 222.66 206.81 2007-07-01-03 37.06 -90.0	
80 3 5.0000 207.3331 5.0000 207.3331 9.581287e+03 0.00 230.04 225.55 2007-07-01-06 NaN NaN	
81 3 5.0000 204.6665 5.3333 204.6665 5.199070e+04 0.52 223.75 208.15 2007-07-01-03 39.05 71.6	
81 3 6.3333 204.9998 6.3333 204.9998 2.731356e+04 0.34 223.98 215.51 2007-07-01-06 NaN NaN	
82 3 4.3333 341.6663 4.3333 341.6663 2.328709e+04 0.30 230.04 222.87 2007-07-01-03 17.45 135.0	
82 3 4.6667 341.3330 4.6667 341.3330 8.215444e+03 0.55 227.34 220.20 2007-07-01-06 NaN NaN	
83 3 3.0000 202.9998 3.0000 202.9998 1.371974e+04 0.52 229.83 226.89 2007-07-01-03 71.94 31.0	
83 3 4.0000 204.6665 4.0000 204.6665 5.482390e+03 NaN 230.07 223.54 2007-07-01-06 NaN NaN	
84 3 3.0000 105.6666 3.0000 105.3332 6.859151e+03 0.00 228.23 224.21 2007-07-01-03 55.18 26.6	
84 3 4.0000 106.6666 3.6667 106.6666 2.055926e+04 0.09 228.23 222.20 2007-07-01-06 NaN NaN	
85 3 1.0000 153.6665 1.3333 153.3332 5.494079e+03 NaN 230.57 228.90 2007-07-01-03 62.99 -11.3	
85 3 1.0000 154.6665 1.0000 154.9998 2.197718e+04 0.63 224.88 205.47 2007-07-01-06 NaN NaN	
86 3 0.3333 67.9999 0.6667 67.9999 6.868797e+03 NaN 228.23 226.22 2007-07-01-03 27.63 -63.4	
86 3 0.0000 68.3333 0.0000 68.3333 2.060662e+04 0.67 220.51 210.83 2007-07-01-06 NaN NaN	
