ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.6666 134.3332 29.6666 134.3332 7.162304e+03 0.55 225.66 220.87 1998-10-01-00 NaN NaN	
2 0 26.6666 253.6664 26.6666 253.6664 8.593690e+03 0.96 228.23 220.87 1998-10-01-00 NaN NaN	
3 0 22.3333 254.9997 22.3333 254.6664 7.624470e+03 0.00 222.99 210.16 1998-10-01-00 NaN NaN	
4 0 20.3333 259.6664 20.3333 259.6664 9.011831e+03 0.00 230.71 230.24 1998-10-01-00 NaN NaN	
5 0 16.6666 123.3332 16.6666 123.3332 1.053544e+04 0.50 221.45 214.84 1998-10-01-00 NaN NaN	
6 0 15.0000 132.6665 15.0000 132.6665 2.387274e+04 0.27 225.51 213.50 1998-10-01-00 NaN NaN	
7 0 15.0000 267.9997 15.0000 267.9997 7.964040e+03 NaN 224.66 220.20 1998-10-01-00 NaN NaN	
8 0 14.6667 121.9999 15.0000 121.6665 3.719451e+04 0.83 225.91 214.84 1998-10-01-00 NaN NaN	
9 0 13.0000 273.3330 13.0000 273.3330 5.354354e+03 0.00 228.40 224.21 1998-10-01-00 NaN NaN	
10 0 12.3333 87.3332 12.3333 87.3332 6.708749e+03 NaN 229.97 225.55 1998-10-01-00 NaN NaN	
11 0 10.6667 135.6665 10.6667 135.6665 1.619116e+04 0.43 229.40 224.21 1998-10-01-00 NaN NaN	
12 0 10.3333 261.9997 10.6667 261.6664 5.403201e+03 NaN 227.73 224.88 1998-10-01-00 NaN NaN	
13 0 8.6667 206.6665 8.6667 206.6665 1.765147e+04 0.72 224.42 215.51 1998-10-01-00 NaN NaN	
14 0 7.6667 120.3332 7.6667 120.3332 1.143935e+05 0.50 219.34 202.13 1998-10-01-00 NaN NaN	
15 0 7.0000 172.6665 7.0000 172.6665 6.815857e+03 0.00 227.83 221.54 1998-10-01-00 NaN NaN	
16 0 5.0000 27.3333 5.0000 27.3333 1.095054e+04 0.51 220.28 209.49 1998-10-01-00 NaN NaN	
17 0 1.0000 287.9997 0.6667 287.9997 5.494475e+03 NaN 225.72 213.50 1998-10-01-00 NaN NaN	
18 0 0.0000 306.9997 -0.3333 306.9997 5.495172e+03 NaN 225.05 216.85 1998-10-01-00 NaN NaN	
19 0 -0.6667 299.9997 -0.6667 299.9997 8.242142e+03 0.55 219.64 204.80 1998-10-01-00 NaN NaN	
20 0 -6.6667 296.6664 -6.6667 296.6664 1.364484e+04 0.78 228.76 220.87 1998-10-01-00 NaN NaN	
21 0 -8.0000 149.3332 -8.0000 149.3332 9.522992e+03 0.58 227.65 221.54 1998-10-01-00 NaN NaN	
22 0 -21.3333 180.3331 -21.0000 180.3331 5.124478e+03 NaN 231.74 228.90 1998-10-01-00 NaN NaN	
23 0 -29.6666 30.0000 -29.6666 30.0000 1.192924e+04 0.23 228.56 224.21 1998-10-01-00 NaN NaN	
24 3 18.0000 258.6664 18.0000 258.6664 6.530321e+03 NaN 224.08 216.18 1998-10-01-00 27.35 63.4	
24 3 18.6666 258.9997 18.6666 258.9997 1.561310e+04 0.60 224.16 210.83 1998-10-01-03 NaN NaN	
25 3 16.3333 156.9998 16.3333 156.9998 5.271149e+03 NaN 226.72 224.21 1998-10-01-00 12.35 90.0	
25 3 16.3333 156.9998 16.6666 156.9998 2.371198e+04 0.86 220.27 210.16 1998-10-01-03 NaN NaN	
26 3 12.0000 4.3333 12.0000 4.0000 6.045796e+04 0.61 221.00 204.80 1998-10-01-00 27.51 -116.6	
26 3 11.6667 3.6667 11.3333 3.6667 1.748797e+04 0.48 226.68 215.51 1998-10-01-03 NaN NaN	
27 3 10.6667 262.9997 10.6667 263.3331 1.214455e+04 0.71 223.62 210.16 1998-10-01-00 24.28 180.0	
27 3 10.6667 262.6664 10.6667 262.6664 2.025663e+04 0.68 221.58 214.17 1998-10-01-03 NaN NaN	
28 3 9.3333 294.3330 9.3333 294.3330 5.559033e+04 0.53 220.49 208.82 1998-10-01-00 65.72 158.2	
28 3 10.0000 292.6664 10.0000 292.6664 2.030068e+04 0.50 226.18 214.84 1998-10-01-03 NaN NaN	
29 3 9.0000 320.3330 9.0000 320.6663 6.783072e+03 NaN 225.69 218.86 1998-10-01-00 34.71 135.0	
29 3 9.6667 319.6663 9.6667 319.9997 1.354832e+04 0.00 221.20 209.49 1998-10-01-03 NaN NaN	
30 3 9.3333 3.3333 9.3333 3.3333 2.711796e+04 0.88 226.99 215.51 1998-10-01-00 52.11 -135.0	
30 3 8.3333 2.3333 8.3333 2.3333 1.902664e+04 0.35 229.33 223.54 1998-10-01-03 NaN NaN	
31 3 9.0000 185.9998 9.0000 185.9998 1.085631e+04 0.44 226.39 217.52 1998-10-01-00 17.36 135.0	
31 3 9.3333 185.6665 9.3333 185.6665 2.304409e+04 0.34 227.28 218.19 1998-10-01-03 NaN NaN	
32 3 6.6667 327.3330 6.6667 327.3330 1.227770e+04 0.67 219.08 209.49 1998-10-01-00 17.41 135.0	
32 3 7.0000 326.9997 7.0000 326.9997 1.500294e+04 0.60 225.37 217.52 1998-10-01-03 NaN NaN	
33 3 1.3333 67.6666 1.3333 67.6666 6.867518e+03 0.00 228.63 225.55 1998-10-01-00 24.70 180.0	
33 3 1.3333 66.9999 1.3333 66.9999 9.614186e+03 0.55 224.12 217.52 1998-10-01-03 NaN NaN	
34 3 0.3333 10.6667 0.3333 10.6667 9.616464e+03 0.34 228.90 225.55 1998-10-01-00 12.35 0.0	
34 3 0.3333 11.3333 0.3333 11.0000 4.945313e+04 0.54 226.56 218.19 1998-10-01-03 NaN NaN	
35 3 -4.0000 110.6665 -4.0000 110.6665 7.399542e+04 0.63 218.96 206.81 1998-10-01-00 50.81 -166.0	
35 3 -4.3333 109.3332 -4.3333 109.3332 3.834998e+04 0.66 223.33 214.84 1998-10-01-03 NaN NaN	
36 3 -9.3333 181.6665 -9.0000 181.6665 5.425040e+03 NaN 222.71 212.83 1998-10-01-00 44.14 -146.3	
36 3 -9.6667 180.6665 -9.6667 180.6665 3.115235e+04 0.35 222.18 210.83 1998-10-01-03 NaN NaN	
37 3 -18.0000 178.9998 -18.0000 178.6665 1.305793e+04 0.38 228.30 220.87 1998-10-01-00 59.75 -36.9	
37 3 -19.3333 180.3331 -19.0000 179.9998 2.204975e+04 0.48 230.51 227.56 1998-10-01-03 NaN NaN	
38 0 21.3333 88.6666 21.3333 88.6666 5.121592e+03 NaN 230.74 227.56 1998-10-01-03 NaN NaN	
39 0 18.3333 261.3331 18.3333 260.9997 1.564379e+04 0.19 224.71 212.83 1998-10-01-03 NaN NaN	
40 0 16.6666 258.3331 16.6666 258.3331 9.207910e+03 0.39 227.75 220.87 1998-10-01-03 NaN NaN	
41 3 13.3333 94.3332 13.3333 94.3332 6.683806e+03 0.00 228.36 221.54 1998-10-01-00 17.23 135.0	
41 3 13.6667 93.9999 13.6667 93.9999 8.003748e+03 NaN 216.40 204.80 1998-10-01-03 NaN NaN	
42 0 14.0000 90.9999 14.0000 90.9999 9.330927e+03 0.58 227.08 219.53 1998-10-01-03 NaN NaN	
43 0 14.0000 201.9998 14.0000 201.6665 2.131612e+04 0.44 230.07 225.55 1998-10-01-03 NaN NaN	
44 0 10.0000 13.6667 10.3333 13.6667 5.408935e+03 NaN 229.23 225.55 1998-10-01-03 NaN NaN	
45 0 9.6667 275.6664 9.6667 275.6664 9.477262e+03 0.39 219.81 215.51 1998-10-01-03 NaN NaN	
46 0 9.3333 250.9997 9.3333 250.9997 6.775478e+03 0.00 227.69 226.22 1998-10-01-03 NaN NaN	
47 0 8.6667 21.0000 8.3333 21.0000 1.493249e+04 0.80 226.77 205.47 1998-10-01-03 NaN NaN	
48 0 8.3333 319.9997 8.3333 319.9997 5.435994e+03 NaN 220.87 211.50 1998-10-01-03 NaN NaN	
49 0 8.0000 358.3329 8.0000 358.3329 6.802203e+03 NaN 230.64 228.90 1998-10-01-03 NaN NaN	
