ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.3333 292.6664 29.3333 292.6664 4.670368e+04 0.53 219.97 206.81 2003-03-01-00 NaN NaN	
2 0 22.0000 246.6664 22.0000 246.6664 5.098072e+03 NaN 231.07 228.90 2003-03-01-00 NaN NaN	
3 0 19.0000 238.6664 19.0000 238.9998 1.170099e+04 NaN 231.35 228.90 2003-03-01-00 NaN NaN	
4 0 14.0000 225.9998 13.6667 225.9998 6.668834e+03 0.00 231.98 230.91 2003-03-01-00 NaN NaN	
5 0 7.6667 150.3332 8.0000 150.3332 3.402933e+04 0.78 227.08 216.85 2003-03-01-00 NaN NaN	
6 0 1.3333 305.3330 1.3333 305.3330 1.922640e+04 0.32 224.26 210.16 2003-03-01-00 NaN NaN	
7 0 -0.3333 302.6664 -0.3333 302.3330 4.807900e+04 0.43 220.39 208.82 2003-03-01-00 NaN NaN	
8 0 -2.0000 98.9999 -2.0000 98.9999 1.098365e+04 0.30 229.23 222.20 2003-03-01-00 NaN NaN	
9 0 -3.0000 5.6667 -3.0000 6.0000 1.097572e+04 0.46 218.77 207.48 2003-03-01-00 NaN NaN	
10 0 -6.3333 296.6664 -6.3333 296.3330 5.461658e+03 0.00 228.40 226.22 2003-03-01-00 NaN NaN	
11 0 -6.3333 170.6665 -6.3333 170.6665 2.047989e+04 0.74 219.84 208.82 2003-03-01-00 NaN NaN	
12 0 -9.0000 311.3330 -9.0000 310.9997 6.104763e+04 0.67 220.96 211.50 2003-03-01-00 NaN NaN	
13 0 -11.0000 20.0000 -11.0000 20.0000 1.078692e+04 0.82 227.56 220.20 2003-03-01-00 NaN NaN	
14 0 -11.3333 49.6666 -11.6667 49.6666 6.733470e+03 0.74 224.75 218.86 2003-03-01-00 NaN NaN	
15 0 -11.3333 288.9997 -11.3333 288.9997 8.080492e+03 0.23 222.09 214.84 2003-03-01-00 NaN NaN	
16 0 -10.3333 300.6664 -10.3333 300.6664 1.756937e+04 0.54 218.09 202.80 2003-03-01-00 NaN NaN	
17 0 -12.0000 20.6666 -12.0000 20.6666 1.477449e+04 0.86 230.84 228.23 2003-03-01-00 NaN NaN	
18 0 -12.6667 294.9997 -12.6667 294.9997 1.474217e+04 0.83 227.32 215.51 2003-03-01-00 NaN NaN	
19 0 -13.0000 289.3330 -13.0000 288.9997 5.357950e+03 NaN 216.18 210.16 2003-03-01-00 NaN NaN	
20 0 -14.0000 299.6664 -14.0000 299.3330 2.000032e+04 0.49 219.30 200.79 2003-03-01-00 NaN NaN	
21 0 -14.3333 304.3330 -14.3333 304.3330 7.992146e+03 NaN 211.61 201.46 2003-03-01-00 NaN NaN	
22 0 -16.6666 60.6666 -16.6666 60.9999 1.448827e+04 0.61 224.70 216.18 2003-03-01-00 NaN NaN	
23 0 -19.3333 224.9998 -19.0000 224.9998 5.190605e+03 NaN 226.39 222.87 2003-03-01-00 NaN NaN	
24 0 -20.6666 210.6664 -21.0000 210.3331 6.421340e+03 0.00 226.89 215.51 2003-03-01-00 NaN NaN	
25 0 -22.3333 181.6665 -22.3333 181.6665 6.353754e+03 NaN 231.71 230.24 2003-03-01-00 NaN NaN	
26 0 -29.6666 187.9998 -29.6666 187.3331 4.657445e+04 0.26 225.16 214.84 2003-03-01-00 NaN NaN	
27 3 6.0000 25.0000 6.0000 25.0000 1.913181e+04 0.76 219.10 205.47 2003-03-01-00 17.43 -135.0	
27 3 5.6667 25.0000 5.6667 24.6666 9.568774e+03 0.80 229.85 227.56 2003-03-01-03 NaN NaN	
28 3 0.6667 12.6667 1.0000 12.6667 2.472503e+04 0.39 221.57 204.80 2003-03-01-00 27.62 -153.4	
28 3 0.3333 12.0000 0.6667 12.0000 9.065394e+04 0.60 212.98 192.76 2003-03-01-03 NaN NaN	
29 3 -0.3333 114.3332 -0.3333 114.6665 2.610131e+04 0.57 230.34 228.90 2003-03-01-00 24.71 0.0	
