ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.3333 156.3332 29.3333 156.3332 1.559275e+04 0.68 225.91 218.86 2003-10-01-00 NaN NaN	
2 0 18.6666 101.9999 18.6666 101.9999 6.512701e+03 NaN 227.02 222.87 2003-10-01-00 NaN NaN	
3 0 19.0000 303.6664 19.0000 303.6664 6.499977e+03 NaN 222.34 218.19 2003-10-01-00 NaN NaN	
4 0 17.3333 258.9997 17.3333 259.3331 9.182228e+03 0.47 228.04 216.18 2003-10-01-00 NaN NaN	
5 0 15.0000 273.3330 15.0000 273.3330 7.963995e+03 0.62 213.17 197.44 2003-10-01-00 NaN NaN	
6 0 17.0000 347.9996 16.6666 347.9996 1.077540e+05 0.64 221.30 199.45 2003-10-01-00 NaN NaN	
7 0 14.0000 72.9999 13.6667 72.9999 2.133692e+04 0.65 210.83 194.76 2003-10-01-00 NaN NaN	
8 0 10.3333 78.3333 10.0000 78.3333 2.839438e+04 0.51 220.87 196.10 2003-10-01-00 NaN NaN	
9 0 9.3333 167.6665 9.3333 167.6665 3.523400e+04 0.86 229.80 223.54 2003-10-01-00 NaN NaN	
10 0 9.0000 348.3330 8.6667 347.9996 8.414219e+04 0.72 223.85 210.16 2003-10-01-00 NaN NaN	
11 0 7.6667 214.9998 7.6667 214.9998 5.443941e+03 NaN 224.55 219.53 2003-10-01-00 NaN NaN	
12 0 7.0000 14.6667 7.0000 14.6667 8.180194e+03 0.00 231.02 229.57 2003-10-01-00 NaN NaN	
13 0 7.6667 101.6666 7.6667 101.6666 6.809736e+03 NaN 224.75 218.86 2003-10-01-00 NaN NaN	
14 0 7.0000 168.3332 7.0000 168.3332 5.455186e+03 NaN 229.06 226.22 2003-10-01-00 NaN NaN	
15 0 4.3333 72.6666 4.3333 72.6666 1.781071e+04 0.35 214.53 198.11 2003-10-01-00 NaN NaN	
16 0 3.0000 26.6666 3.3333 26.6666 1.920297e+04 0.43 226.84 216.18 2003-10-01-00 NaN NaN	
17 0 4.3333 86.6666 4.3333 86.9999 1.780913e+04 0.37 223.90 213.50 2003-10-01-00 NaN NaN	
18 0 4.3333 80.6666 4.3333 80.3333 1.574993e+05 0.47 220.41 196.10 2003-10-01-00 NaN NaN	
19 0 0.6667 282.9997 0.6667 282.6664 1.098972e+04 0.46 225.47 214.17 2003-10-01-00 NaN NaN	
20 0 0.6667 73.6666 1.0000 73.9999 4.807597e+04 0.55 224.98 215.51 2003-10-01-00 NaN NaN	
21 0 -0.6667 296.9997 -0.6667 296.9997 6.868471e+03 NaN 230.91 229.57 2003-10-01-00 NaN NaN	
22 0 -2.6667 74.6666 -3.0000 74.6666 6.861172e+03 NaN 228.63 222.20 2003-10-01-00 NaN NaN	
23 0 -4.6667 91.9999 -4.6667 91.9999 8.214817e+03 0.38 221.98 214.84 2003-10-01-00 NaN NaN	
24 0 -6.0000 161.3332 -5.6667 161.3332 1.640020e+04 0.75 221.81 212.83 2003-10-01-00 NaN NaN	
25 0 -6.6667 84.9999 -6.6667 84.9999 2.865027e+04 0.73 217.07 198.78 2003-10-01-00 NaN NaN	
26 0 -10.0000 77.9999 -10.0000 77.9999 5.414487e+03 NaN 228.90 220.20 2003-10-01-00 NaN NaN	
27 0 -10.3333 91.3332 -10.3333 91.3332 5.407525e+03 NaN 228.90 224.88 2003-10-01-00 NaN NaN	
28 0 -11.0000 159.6665 -11.0000 159.9998 5.397283e+03 NaN 224.71 214.84 2003-10-01-00 NaN NaN	
29 0 -12.3333 316.6664 -12.3333 316.6664 1.073333e+04 0.59 225.38 218.19 2003-10-01-00 NaN NaN	
30 3 26.0000 96.3332 26.0000 96.3332 1.481006e+04 0.51 219.25 206.81 2003-10-01-00 0.00 0.0	
30 3 26.0000 96.3332 26.0000 96.3332 1.603065e+04 0.70 227.15 222.20 2003-10-01-03 NaN NaN	
31 3 24.6666 86.6666 24.6666 86.6666 1.372949e+04 0.46 219.83 207.48 2003-10-01-00 11.23 0.0	
31 3 24.6666 86.9999 24.6666 86.9999 7.480641e+03 NaN 222.99 217.52 2003-10-01-03 NaN NaN	
32 3 14.3333 267.9997 14.3333 267.9997 4.791537e+04 0.34 207.42 189.41 2003-10-01-00 35.91 180.0	
32 3 14.0000 266.9997 14.3333 266.9997 6.927845e+04 0.72 217.38 200.79 2003-10-01-03 NaN NaN	
33 3 13.6667 154.9998 13.6667 154.6665 8.011211e+03 NaN 228.90 224.21 2003-10-01-00 73.03 170.5	
33 3 14.0000 152.6665 14.0000 152.6665 1.466667e+04 0.25 230.36 227.56 2003-10-01-03 NaN NaN	
34 3 13.3333 177.3331 13.3333 177.3331 1.469888e+04 0.55 218.49 202.13 2003-10-01-00 24.04 180.0	
34 3 13.3333 176.6665 13.3333 176.6665 2.940282e+04 0.62 225.79 215.51 2003-10-01-03 NaN NaN	
35 3 12.0000 348.3330 11.6667 348.6663 9.813073e+04 0.62 222.85 206.14 2003-10-01-00 81.39 26.6	
35 3 13.0000 350.6663 12.6667 350.6663 5.222780e+04 0.61 224.47 214.84 2003-10-01-03 NaN NaN	
36 3 12.6667 173.3331 12.6667 173.3331 1.473871e+04 0.46 219.10 210.83 2003-10-01-00 24.71 90.0	
36 3 13.3333 173.3331 13.3333 173.3331 1.604859e+04 0.39 228.34 223.54 2003-10-01-03 NaN NaN	
37 3 7.6667 113.6665 7.6667 113.6665 2.177653e+04 0.38 226.01 212.17 2003-10-01-00 44.29 -33.7	
37 3 7.0000 114.6665 7.0000 114.6665 8.723426e+04 0.52 218.32 202.80 2003-10-01-03 NaN NaN	
38 3 6.0000 75.6666 6.0000 75.3333 1.639261e+04 0.52 227.34 218.86 2003-10-01-00 49.42 90.0	
38 3 7.0000 75.3333 7.3333 75.3333 5.200414e+05 0.46 216.05 191.42 2003-10-01-03 NaN NaN	
39 3 6.3333 141.9998 6.3333 141.9998 8.190747e+03 0.00 225.55 221.54 2003-10-01-00 62.99 -78.7	
39 3 4.6667 142.3332 4.6667 142.3332 1.780323e+04 0.70 227.46 222.20 2003-10-01-03 NaN NaN	
40 3 5.3333 272.6664 5.3333 272.6664 5.744686e+04 0.87 225.52 214.84 2003-10-01-00 17.44 -45.0	
40 3 5.0000 272.9997 5.0000 272.9997 1.094708e+04 0.59 230.32 226.22 2003-10-01-03 NaN NaN	
41 3 5.0000 318.3330 5.0000 318.3330 8.210777e+03 NaN 228.12 223.54 2003-10-01-00 39.05 108.4	
41 3 6.0000 317.9997 6.0000 317.9997 6.831423e+03 NaN 226.22 223.54 2003-10-01-03 NaN NaN	
42 3 1.0000 281.9997 1.3333 281.6664 8.241026e+03 NaN 224.99 218.86 2003-10-01-00 17.47 45.0	
42 3 1.3333 281.9997 1.6667 281.9997 2.471982e+04 0.76 224.10 216.18 2003-10-01-03 NaN NaN	
43 3 -8.6667 160.6665 -8.3333 160.6665 8.152288e+03 NaN 223.54 217.52 2003-10-01-00 24.71 90.0	
43 3 -7.6667 160.9998 -7.6667 160.6665 1.361303e+04 0.71 221.74 206.81 2003-10-01-03 NaN NaN	
44 0 30.0000 207.9998 30.0000 207.9998 7.146481e+03 NaN 225.77 220.20 2003-10-01-03 NaN NaN	
45 0 30.0000 286.3330 30.0000 285.9997 1.667247e+04 NaN 225.03 218.19 2003-10-01-03 NaN NaN	
46 0 29.0000 277.9997 29.0000 277.9997 6.011663e+03 NaN 231.71 230.24 2003-10-01-03 NaN NaN	
47 0 17.6666 286.3330 17.6666 286.3330 2.748616e+04 0.65 215.42 204.80 2003-10-01-03 NaN NaN	
48 0 16.3333 145.3332 16.3333 144.9998 2.900111e+04 0.62 217.25 199.45 2003-10-01-03 NaN NaN	
49 0 13.6667 171.9998 13.6667 171.9998 5.339609e+03 0.00 229.40 227.56 2003-10-01-03 NaN NaN	
50 0 13.6667 205.6665 13.6667 205.6665 8.003748e+03 NaN 223.77 217.52 2003-10-01-03 NaN NaN	
51 0 13.3333 93.9999 13.3333 93.6666 5.343385e+03 NaN 226.05 221.54 2003-10-01-03 NaN NaN	
52 0 13.0000 135.9999 13.0000 135.6665 9.368378e+03 NaN 226.70 220.20 2003-10-01-03 NaN NaN	
