ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 30.0000 188.3331 30.0000 188.3331 8.332259e+03 NaN 227.85 223.54 2006-03-01-00 NaN NaN	
2 0 29.3333 135.3332 29.3333 135.3332 2.635179e+04 0.57 226.59 220.87 2006-03-01-00 NaN NaN	
3 0 18.0000 209.9998 18.0000 209.9998 1.176876e+04 0.53 227.11 223.54 2006-03-01-00 NaN NaN	
4 0 13.0000 21.0000 13.0000 21.0000 6.694729e+03 0.00 226.09 219.53 2006-03-01-00 NaN NaN	
5 0 9.6667 5.3333 10.0000 5.3333 1.895134e+04 0.65 224.36 210.83 2006-03-01-00 NaN NaN	
6 0 10.6667 183.9998 10.6667 183.9998 5.401744e+03 NaN 230.57 228.90 2006-03-01-00 NaN NaN	
7 0 7.6667 358.3329 7.6667 358.3329 5.309175e+04 0.52 221.14 206.14 2006-03-01-00 NaN NaN	
8 0 6.6667 186.9998 7.0000 186.9998 5.456091e+03 NaN 231.57 230.24 2006-03-01-00 NaN NaN	
9 0 4.6667 131.6665 4.6667 131.6665 5.476978e+03 0.00 231.24 228.90 2006-03-01-00 NaN NaN	
10 0 3.3333 294.6664 3.3333 294.6664 5.485457e+03 NaN 223.54 214.84 2006-03-01-00 NaN NaN	
11 0 2.0000 340.6663 2.3333 340.6663 5.491290e+03 NaN 227.22 223.54 2006-03-01-00 NaN NaN	
12 0 0.6667 333.9997 0.3333 333.9997 1.511103e+04 0.61 229.08 223.54 2006-03-01-00 NaN NaN	
13 0 -1.6667 116.3332 -1.6667 116.3332 1.235923e+04 0.32 222.73 208.15 2006-03-01-00 NaN NaN	
14 0 -4.3333 117.9999 -4.3333 117.9999 5.478906e+03 NaN 225.05 220.20 2006-03-01-00 NaN NaN	
15 0 -5.3333 146.9998 -5.3333 146.9998 1.367619e+04 0.37 224.95 216.85 2006-03-01-00 NaN NaN	
16 0 -5.3333 180.9998 -5.3333 180.9998 1.230991e+04 0.67 224.29 218.86 2006-03-01-00 NaN NaN	
17 0 -5.6667 118.6665 -5.6667 118.3332 1.503793e+04 0.38 222.81 214.84 2006-03-01-00 NaN NaN	
18 0 -6.6667 271.9997 -6.6667 271.9997 1.228141e+04 0.66 214.10 202.13 2006-03-01-00 NaN NaN	
19 0 -6.6667 74.6666 -6.6667 74.6666 1.500864e+04 0.48 221.05 204.13 2006-03-01-00 NaN NaN	
20 0 -10.0000 282.6664 -10.0000 282.6664 1.218164e+04 0.46 227.04 220.87 2006-03-01-00 NaN NaN	
21 0 -11.6667 301.6664 -11.6667 301.6664 1.210713e+04 0.43 227.04 219.53 2006-03-01-00 NaN NaN	
22 0 -12.0000 115.9999 -11.6667 115.9999 5.378436e+03 NaN 224.55 216.85 2006-03-01-00 NaN NaN	
23 0 -13.3333 48.3333 -13.3333 48.3333 2.541465e+04 0.78 218.86 211.50 2006-03-01-00 NaN NaN	
24 0 -13.6667 301.9997 -13.3333 301.9997 5.343385e+03 NaN 226.72 222.20 2006-03-01-00 NaN NaN	
25 0 -14.0000 308.9997 -14.0000 308.9997 2.933644e+04 0.82 224.55 210.83 2006-03-01-00 NaN NaN	
26 0 -15.6667 305.3330 -15.6667 305.3330 9.259315e+03 0.96 217.81 198.78 2006-03-01-00 NaN NaN	
27 0 -17.0000 47.3333 -16.6666 47.0000 2.495807e+04 0.16 228.65 221.54 2006-03-01-00 NaN NaN	
28 0 -16.0000 117.6665 -16.0000 117.6665 5.284546e+03 NaN 227.22 226.22 2006-03-01-00 NaN NaN	
29 0 -16.6666 49.6666 -16.6666 49.6666 5.266654e+03 NaN 227.89 220.87 2006-03-01-00 NaN NaN	
30 0 -17.0000 291.6664 -17.0000 291.6664 7.882600e+03 0.55 224.32 213.50 2006-03-01-00 NaN NaN	
31 0 -17.0000 122.6665 -17.0000 122.6665 5.259755e+03 NaN 231.41 230.91 2006-03-01-00 NaN NaN	
32 0 -17.3333 312.3330 -17.3333 312.3330 1.049365e+04 0.46 220.28 207.48 2006-03-01-00 NaN NaN	
33 0 -19.0000 306.9997 -19.0000 306.6664 1.039918e+04 0.31 224.30 206.14 2006-03-01-00 NaN NaN	
34 0 -24.0000 189.9998 -24.0000 189.9998 7.533417e+03 0.40 231.69 229.57 2006-03-01-00 NaN NaN	
35 0 -26.6666 212.3331 -26.6666 212.3331 1.719430e+04 0.67 229.09 223.54 2006-03-01-00 NaN NaN	
36 0 -28.3333 354.9996 -28.3333 354.6663 1.936609e+04 0.27 229.15 222.20 2006-03-01-00 NaN NaN	
37 0 -29.6666 163.6665 -29.6666 163.6665 1.074346e+04 0.28 227.11 221.54 2006-03-01-00 NaN NaN	
