ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.6666 174.3331 29.6666 174.6665 5.968614e+03 NaN 227.02 222.87 2008-02-01-00 NaN NaN	
2 0 28.3333 184.3331 28.3333 184.3331 1.811877e+04 0.20 229.83 223.54 2008-02-01-00 NaN NaN	
3 0 28.0000 326.9997 28.0000 326.9997 6.057468e+03 NaN 229.03 224.88 2008-02-01-00 NaN NaN	
4 0 26.6666 215.6664 27.0000 216.3331 1.348642e+04 0.34 228.90 222.20 2008-02-01-00 NaN NaN	
5 0 13.3333 197.9998 13.3333 197.9998 1.871596e+04 0.22 230.81 228.23 2008-02-01-00 NaN NaN	
6 0 11.6667 92.3332 12.0000 92.3332 1.075837e+04 0.69 222.46 208.82 2008-02-01-00 NaN NaN	
7 0 11.3333 218.3331 11.3333 218.3331 1.885780e+04 0.34 226.46 220.87 2008-02-01-00 NaN NaN	
8 0 5.6667 186.6665 6.0000 186.6665 5.466763e+03 NaN 231.07 229.57 2008-02-01-00 NaN NaN	
9 0 5.3333 93.9999 5.3333 93.9999 1.094430e+04 0.53 228.81 224.21 2008-02-01-00 NaN NaN	
10 0 3.0000 153.3332 3.3333 152.9998 5.486828e+03 NaN 222.71 218.19 2008-02-01-00 NaN NaN	
11 0 1.6667 33.6666 1.6667 34.0000 2.471724e+04 0.47 230.12 224.21 2008-02-01-00 NaN NaN	
12 0 -2.3333 295.9997 -2.3333 295.9997 5.490686e+03 NaN 229.40 228.23 2008-02-01-00 NaN NaN	
13 0 -5.6667 30.6666 -5.6667 30.6666 1.640498e+04 0.40 229.46 225.55 2008-02-01-00 NaN NaN	
14 0 -5.6667 137.6665 -5.6667 137.6665 6.837017e+03 0.00 223.14 212.83 2008-02-01-00 NaN NaN	
15 0 -6.6667 56.6666 -6.6667 56.9999 6.822606e+03 NaN 229.43 226.89 2008-02-01-00 NaN NaN	
16 0 -8.3333 309.6664 -8.3333 309.6664 8.156967e+03 NaN 225.89 219.53 2008-02-01-00 NaN NaN	
17 0 -14.0000 175.6665 -14.0000 175.6665 6.663011e+03 NaN 228.90 226.89 2008-02-01-00 NaN NaN	
18 0 -14.6667 171.3332 -14.3333 171.3332 1.329819e+04 0.25 228.16 224.88 2008-02-01-00 NaN NaN	
19 0 -17.0000 290.9997 -16.6666 290.9997 5.259755e+03 NaN 222.54 216.85 2008-02-01-00 NaN NaN	
20 0 -21.3333 316.9997 -21.3333 316.9997 1.279375e+04 0.55 227.69 221.54 2008-02-01-00 NaN NaN	
21 0 -20.3333 322.9997 -20.3333 322.9997 5.150018e+03 NaN 228.90 224.88 2008-02-01-00 NaN NaN	
22 3 22.3333 214.6664 22.3333 214.6664 5.844813e+04 0.78 230.21 224.88 2008-02-01-00 26.01 -26.6	
22 3 22.0000 214.9998 22.0000 215.3331 1.018102e+04 0.21 231.41 228.23 2008-02-01-03 NaN NaN	
23 3 6.6667 143.9998 6.6667 143.9998 6.822606e+03 NaN 228.63 224.21 2008-02-01-00 66.18 -21.8	
23 3 6.0000 145.6665 6.0000 145.6665 8.197615e+03 0.00 229.12 226.89 2008-02-01-03 NaN NaN	
24 3 2.3333 95.3332 2.6667 95.6666 1.139080e+05 0.76 225.00 214.84 2008-02-01-00 96.48 -129.8	
24 3 0.6667 93.9999 0.6667 93.9999 2.335199e+04 0.41 227.01 220.87 2008-02-01-03 NaN NaN	
25 3 0.3333 148.3332 0.3333 148.3332 6.868797e+03 0.00 224.61 214.17 2008-02-01-00 27.63 -153.4	
25 3 0.0000 147.6665 0.0000 147.6665 1.785909e+04 0.74 221.54 207.48 2008-02-01-03 NaN NaN	
26 3 -1.6667 117.6665 -1.6667 117.6665 9.612512e+03 0.58 219.81 203.46 2008-02-01-00 27.62 153.4	
