ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 8.0000 259.9997 7.6667 259.9997 6.801973e+03 NaN 231.71 228.23 1998-05-01-00 NaN NaN	
2 0 3.3333 117.6665 3.6667 117.3332 5.484969e+03 NaN 228.73 226.89 1998-05-01-00 NaN NaN	
3 0 2.6667 95.9999 2.6667 96.3332 5.488896e+03 NaN 222.37 210.16 1998-05-01-00 NaN NaN	
4 0 1.3333 265.6664 1.0000 265.6664 9.614511e+03 0.36 220.58 213.50 1998-05-01-00 NaN NaN	
5 0 0.3333 23.3333 0.3333 23.3333 8.242700e+03 0.62 229.57 222.87 1998-05-01-00 NaN NaN	
6 0 0.3333 25.0000 0.3333 25.0000 1.373771e+04 0.52 229.03 222.87 1998-05-01-00 NaN NaN	
7 0 -2.0000 176.9998 -2.0000 177.3331 6.865379e+03 NaN 226.76 221.54 1998-05-01-00 NaN NaN	
8 0 -3.3333 116.6665 -3.0000 116.6665 5.486828e+03 NaN 223.04 216.18 1998-05-01-00 NaN NaN	
9 0 -7.6667 298.6664 -7.6667 298.6664 6.807604e+03 NaN 229.70 226.89 1998-05-01-00 NaN NaN	
10 0 -8.6667 94.9999 -8.6667 94.9999 8.148698e+03 NaN 228.90 222.87 1998-05-01-00 NaN NaN	
11 0 -14.0000 48.3333 -14.0000 48.0000 1.865412e+04 0.25 219.67 207.48 1998-05-01-00 NaN NaN	
12 0 -24.0000 76.6666 -24.0000 76.6666 6.281651e+03 0.00 225.55 223.54 1998-05-01-00 NaN NaN	
13 0 -30.0000 334.6663 -30.0000 334.9997 1.072370e+04 NaN 231.80 229.57 1998-05-01-00 NaN NaN	
14 3 29.3333 5.3333 29.6666 5.0000 1.197626e+04 0.48 230.91 227.56 1998-05-01-00 32.21 0.0	
14 3 29.6666 6.0000 29.6666 6.0000 9.553702e+03 0.82 230.15 227.56 1998-05-01-03 NaN NaN	
15 3 13.6667 18.6666 13.6667 18.6666 2.667911e+04 0.22 226.66 217.52 1998-05-01-00 85.00 -8.1	
15 3 13.3333 21.3333 13.3333 21.0000 1.202355e+04 0.00 228.23 224.21 1998-05-01-03 NaN NaN	
16 3 7.6667 358.3329 7.6667 357.9996 8.034889e+04 0.61 216.56 198.11 1998-05-01-00 24.49 180.0	
16 3 7.6667 357.6663 7.6667 357.3329 1.905797e+04 0.62 229.28 220.20 1998-05-01-03 NaN NaN	
17 3 7.0000 344.9996 7.3333 344.9996 5.179202e+04 0.71 221.99 205.47 1998-05-01-00 36.76 180.0	
17 3 7.3333 343.9996 7.3333 343.9996 1.771100e+04 0.53 223.96 216.18 1998-05-01-03 NaN NaN	
18 3 -2.0000 113.6665 -2.0000 113.6665 2.746166e+04 0.49 220.80 208.15 1998-05-01-00 39.07 -108.4	
18 3 -2.6667 113.6665 -3.0000 113.3332 3.293010e+04 0.82 224.80 208.15 1998-05-01-03 NaN NaN	
19 3 -24.6666 229.9998 -24.6666 229.9998 2.624320e+04 0.19 229.63 222.20 1998-05-01-00 33.43 45.0	
19 3 -24.3333 230.9998 -24.0000 230.6664 1.252412e+04 0.21 230.24 226.22 1998-05-01-03 NaN NaN	
20 0 29.6666 277.9997 29.6666 277.6664 7.166200e+03 NaN 232.36 231.57 1998-05-01-03 NaN NaN	
21 0 26.6666 4.6667 26.6666 4.6667 9.821289e+03 0.29 230.57 226.22 1998-05-01-03 NaN NaN	
22 0 26.0000 124.6665 26.0000 124.6665 6.177304e+03 NaN 224.48 222.20 1998-05-01-03 NaN NaN	
23 0 19.3333 80.3333 19.3333 80.6666 2.335431e+04 0.50 226.85 223.54 1998-05-01-03 NaN NaN	
24 0 7.0000 294.6664 7.3333 294.6664 1.908950e+04 0.36 224.45 207.48 1998-05-01-03 NaN NaN	
25 0 7.3333 35.0000 7.0000 35.0000 8.177387e+03 0.60 227.11 219.53 1998-05-01-03 NaN NaN	
26 0 6.0000 265.9997 6.0000 265.9997 1.092765e+04 0.30 227.06 220.87 1998-05-01-03 NaN NaN	
27 0 5.6667 96.6666 5.6667 96.3332 5.468388e+03 NaN 222.87 216.85 1998-05-01-03 NaN NaN	
28 0 4.3333 58.6666 4.3333 58.6666 8.217418e+03 NaN 221.31 210.83 1998-05-01-03 NaN NaN	
29 0 3.0000 276.9997 3.0000 276.9997 1.234884e+04 0.50 225.92 220.20 1998-05-01-03 NaN NaN	
30 0 1.6667 91.6666 1.6667 91.6666 6.865914e+03 NaN 225.42 219.53 1998-05-01-03 NaN NaN	
31 0 0.6667 302.9997 0.6667 302.9997 1.112622e+05 0.43 217.30 197.44 1998-05-01-03 NaN NaN	
32 0 0.6667 84.9999 0.6667 84.9999 6.868611e+03 0.00 226.62 224.88 1998-05-01-03 NaN NaN	
33 0 -1.0000 107.6666 -1.0000 107.6666 1.510945e+04 0.68 227.50 218.19 1998-05-01-03 NaN NaN	
34 0 -2.0000 47.6666 -2.0000 47.3333 1.235553e+04 0.58 226.82 216.85 1998-05-01-03 NaN NaN	
35 0 -2.6667 46.3333 -2.6667 46.3333 9.605423e+03 0.96 224.98 216.85 1998-05-01-03 NaN NaN	
36 0 -3.3333 140.6665 -3.3333 140.6665 6.856897e+03 0.00 228.76 226.89 1998-05-01-03 NaN NaN	
37 0 -4.6667 29.3333 -4.6667 29.3333 8.216118e+03 0.62 222.43 214.17 1998-05-01-03 NaN NaN	
38 0 -4.6667 158.3332 -4.6667 158.3332 1.779610e+04 0.72 227.51 221.54 1998-05-01-03 NaN NaN	
39 0 -5.3333 113.6665 -5.3333 113.6665 1.094276e+04 0.72 221.37 212.83 1998-05-01-03 NaN NaN	
40 0 -5.3333 291.6664 -5.0000 291.6664 5.472891e+03 NaN 224.88 221.54 1998-05-01-03 NaN NaN	
41 0 -6.6667 308.3330 -6.6667 308.3330 5.459895e+03 NaN 230.40 228.23 1998-05-01-03 NaN NaN	
42 0 -7.6667 301.3330 -7.6667 301.3330 2.859290e+04 0.33 220.55 208.15 1998-05-01-03 NaN NaN	
43 0 -8.3333 161.6665 -8.3333 161.6665 6.114116e+04 0.80 223.80 212.17 1998-05-01-03 NaN NaN	
44 0 -10.0000 77.3333 -10.0000 77.3333 6.764650e+03 0.31 228.76 225.55 1998-05-01-03 NaN NaN	
45 0 -24.6666 80.6666 -24.6666 80.3333 8.729008e+03 0.17 226.32 222.87 1998-05-01-03 NaN NaN	
46 0 -25.3333 235.9998 -25.6666 235.9998 1.116146e+04 0.40 231.43 230.24 1998-05-01-03 NaN NaN	
47 0 -28.3333 260.3331 -28.3333 260.3331 1.571216e+04 0.33 231.16 228.90 1998-05-01-03 NaN NaN	
48 6 -5.6667 115.6665 -6.0000 115.6665 5.467529e+03 NaN 226.89 220.87 1998-05-01-00 78.89 -128.7	
48 6 -7.6667 114.3332 -7.6667 114.3332 2.723948e+04 0.53 223.91 209.49 1998-05-01-03 0.00 0.0	
48 6 -8.0000 114.3332 -7.6667 114.3332 8.165912e+03 NaN 228.79 224.88 1998-05-01-06 NaN NaN	
49 3 25.3333 139.6665 25.3333 139.6665 1.490703e+04 0.51 222.60 214.84 1998-05-01-03 0.00 0.0	
49 3 25.0000 139.9998 25.3333 139.6665 1.243719e+04 0.94 230.70 228.23 1998-05-01-06 NaN NaN	
50 3 23.6666 114.3332 24.0000 113.9999 5.026527e+03 NaN 227.56 221.54 1998-05-01-03 79.01 180.0	
50 3 24.0000 111.6665 24.0000 111.6665 1.382140e+04 0.94 217.76 198.11 1998-05-01-06 NaN NaN	
51 3 24.0000 154.9998 24.0000 154.9998 5.013609e+03 NaN 227.06 224.21 1998-05-01-03 25.71 26.6	
51 3 24.3333 155.6665 24.3333 155.6665 1.251074e+04 0.41 231.84 230.24 1998-05-01-06 NaN NaN	
52 3 6.6667 79.6666 7.0000 79.6666 2.728718e+04 0.66 220.46 214.17 1998-05-01-03 17.40 135.0	
52 3 7.3333 79.6666 7.3333 79.3333 1.362332e+04 0.51 225.82 213.50 1998-05-01-06 NaN NaN	
53 3 4.3333 259.6664 4.3333 259.6664 8.218045e+03 0.00 229.23 226.89 1998-05-01-03 34.89 135.0	
53 3 5.0000 258.9997 5.0000 258.9997 6.842821e+03 0.58 228.63 223.54 1998-05-01-06 NaN NaN	
54 3 1.0000 260.6664 1.0000 260.9997 8.241677e+03 0.38 229.57 225.55 1998-05-01-03 113.90 -12.5	
54 3 0.3333 263.3331 0.3333 263.9997 1.772059e+05 0.32 218.74 197.44 1998-05-01-06 NaN NaN	
55 3 -1.0000 117.9999 -1.0000 118.3332 1.373548e+04 0.42 219.39 213.50 1998-05-01-03 17.47 135.0	
55 3 -0.6667 117.6665 -0.6667 117.9999 2.609956e+04 0.54 220.51 208.15 1998-05-01-06 NaN NaN	
56 3 -4.0000 146.9998 -4.3333 146.9998 1.685335e+05 0.40 221.45 204.80 1998-05-01-03 89.74 164.1	
56 3 -3.6667 144.6665 -3.6667 144.6665 4.935511e+04 0.61 224.18 213.50 1998-05-01-06 NaN NaN	
57 3 -7.0000 207.6664 -7.0000 207.6664 1.364027e+04 0.71 223.07 215.51 1998-05-01-03 12.26 0.0	
57 3 -7.0000 207.9998 -7.0000 207.9998 1.773094e+04 0.83 220.56 212.17 1998-05-01-06 NaN NaN	
58 3 -8.3333 138.3332 -8.3333 138.3332 9.512636e+03 NaN 228.90 224.88 1998-05-01-03 12.22 0.0	
58 3 -8.3333 138.6665 -8.3333 138.6665 8.155740e+03 0.55 225.22 216.18 1998-05-01-06 NaN NaN	
59 3 -10.6667 110.6665 -10.6667 110.6665 3.913283e+04 0.76 226.11 213.50 1998-05-01-03 51.92 -45.0	
59 3 -11.6667 111.6665 -11.6667 111.6665 5.381714e+03 NaN 229.90 227.56 1998-05-01-06 NaN NaN	
60 3 -17.6666 146.3332 -17.6666 146.3332 6.547499e+03 NaN 226.35 223.54 1998-05-01-03 23.55 0.0	
60 3 -17.6666 146.9998 -17.6666 146.9998 1.963008e+04 0.79 225.64 218.86 1998-05-01-06 NaN NaN	
61 0 20.3333 39.6666 20.0000 39.6666 1.289289e+04 0.40 229.77 224.88 1998-05-01-06 NaN NaN	
62 0 15.3333 15.3333 15.3333 15.3333 7.943040e+03 NaN 228.79 225.55 1998-05-01-06 NaN NaN	
63 0 10.6667 348.9996 10.6667 348.9996 1.619535e+04 0.35 225.22 218.19 1998-05-01-06 NaN NaN	
64 0 11.6667 128.3332 11.6667 127.9999 5.381714e+03 NaN 229.57 227.56 1998-05-01-06 NaN NaN	
65 0 14.0000 279.9997 14.0000 279.9997 1.066971e+04 0.30 225.05 218.86 1998-05-01-06 NaN NaN	
66 0 7.6667 8.6667 7.6667 8.6667 8.165820e+03 0.00 226.00 218.19 1998-05-01-06 NaN NaN	
67 0 6.0000 14.0000 5.6667 14.0000 7.925623e+04 0.74 224.25 208.15 1998-05-01-06 NaN NaN	
68 0 3.3333 119.6665 3.3333 119.9999 1.097317e+04 0.50 226.47 219.53 1998-05-01-06 NaN NaN	
69 0 1.3333 257.6664 1.3333 257.9997 2.060009e+04 0.70 227.65 222.20 1998-05-01-06 NaN NaN	
70 0 0.3333 351.3330 0.3333 351.6663 1.373755e+04 0.84 228.09 219.53 1998-05-01-06 NaN NaN	
71 0 0.0000 269.6664 0.0000 269.6664 6.869006e+03 0.00 229.70 227.56 1998-05-01-06 NaN NaN	
72 0 -1.3333 77.6666 -1.6667 77.6666 9.614139e+03 0.80 228.52 220.20 1998-05-01-06 NaN NaN	
73 0 -2.0000 110.6665 -2.0000 110.9999 9.610513e+03 NaN 230.81 228.23 1998-05-01-06 NaN NaN	
74 0 -6.0000 100.3332 -6.0000 100.3332 5.466671e+03 NaN 229.40 227.56 1998-05-01-06 NaN NaN	
75 0 -7.0000 197.3331 -6.6667 197.3331 5.456183e+03 NaN 227.73 222.87 1998-05-01-06 NaN NaN	
76 0 -7.0000 198.9998 -7.0000 198.9998 5.454235e+03 NaN 230.24 226.89 1998-05-01-06 NaN NaN	
77 0 -7.0000 139.9998 -7.0000 139.9998 1.363547e+04 0.56 225.15 216.85 1998-05-01-06 NaN NaN	
78 0 -7.3333 170.6665 -7.3333 170.6665 6.814860e+03 0.00 228.09 224.21 1998-05-01-06 NaN NaN	
79 0 -7.3333 138.3332 -7.3333 138.3332 5.450247e+03 NaN 222.54 211.50 1998-05-01-06 NaN NaN	
80 0 -9.6667 196.3331 -9.6667 196.3331 1.761168e+04 0.34 227.04 216.18 1998-05-01-06 NaN NaN	
81 0 -8.6667 199.6665 -8.6667 199.9998 5.431268e+03 NaN 229.73 227.56 1998-05-01-06 NaN NaN	
82 0 -9.0000 212.3331 -9.0000 212.3331 6.783164e+03 0.00 228.90 224.88 1998-05-01-06 NaN NaN	
83 0 -13.3333 225.9998 -13.3333 225.9998 6.680165e+03 0.00 222.34 212.83 1998-05-01-06 NaN NaN	
84 0 -18.6666 231.6664 -18.6666 231.6664 3.774423e+04 0.28 227.28 218.19 1998-05-01-06 NaN NaN	
85 0 -24.0000 84.3332 -24.0000 84.3332 7.523558e+03 0.24 229.90 224.88 1998-05-01-06 NaN NaN	
86 0 -24.3333 332.3330 -24.3333 332.3330 1.376930e+04 0.40 221.47 213.50 1998-05-01-06 NaN NaN	
87 0 -25.6666 83.3332 -26.0000 83.6666 1.236854e+04 0.56 230.10 228.23 1998-05-01-06 NaN NaN	
88 9 -0.3333 120.6665 -0.3333 120.3332 8.242630e+03 0.00 228.23 220.87 1998-05-01-00 0.00 0.0	
88 9 0.0000 120.3332 -0.3333 120.3332 6.868959e+03 NaN 229.03 225.55 1998-05-01-03 55.25 63.4	
88 9 0.6667 120.9999 1.0000 120.9999 1.098927e+04 NaN 221.28 211.50 1998-05-01-06 24.71 0.0	
88 9 1.0000 121.3332 1.0000 121.6665 2.609775e+04 0.34 222.77 206.81 1998-05-01-09 NaN NaN	
89 9 -2.0000 353.6663 -2.0000 353.6663 1.098249e+04 0.00 228.48 225.55 1998-05-01-00 12.35 180.0	
89 9 -2.3333 353.3330 -2.0000 353.3330 2.333542e+04 0.26 225.59 214.84 1998-05-01-03 34.93 -135.0	
89 9 -2.6667 352.6663 -2.6667 352.6663 1.921096e+04 0.34 228.42 217.52 1998-05-01-06 88.99 -146.3	
89 9 -4.0000 350.9996 -4.0000 350.6663 1.507562e+04 0.67 229.63 220.20 1998-05-01-09 NaN NaN	
90 9 -1.3333 58.3333 -1.3333 58.3333 5.493545e+03 NaN 220.53 211.50 1998-05-01-00 17.47 -135.0	
90 9 -1.6667 57.9999 -1.6667 57.9999 2.609210e+04 0.80 225.41 216.85 1998-05-01-03 82.87 153.4	
90 9 -0.6667 55.6666 -0.6667 55.9999 2.472643e+04 0.83 220.35 209.49 1998-05-01-06 94.08 -156.8	
90 9 -2.0000 53.6666 -1.6667 53.6666 5.492406e+03 NaN 225.89 219.53 1998-05-01-09 NaN NaN	
91 9 -4.0000 279.6664 -3.6667 279.3330 5.482924e+03 NaN 229.40 225.55 1998-05-01-00 34.92 135.0	
91 9 -3.3333 278.6664 -3.0000 278.6664 5.073954e+04 0.54 229.31 220.87 1998-05-01-03 55.18 -153.4	
91 9 -3.6667 277.3330 -3.6667 277.3330 2.741976e+04 0.32 227.76 220.87 1998-05-01-06 34.92 135.0	
91 9 -2.6667 276.6664 -3.0000 276.6664 4.390527e+04 0.42 226.18 216.18 1998-05-01-09 NaN NaN	
92 9 -12.3333 104.3332 -12.3333 103.9999 1.073675e+04 0.41 226.47 218.19 1998-05-01-00 12.35 -90.0	
92 9 -12.6667 103.9999 -12.6667 103.9999 3.349836e+04 0.42 216.93 202.80 1998-05-01-03 36.16 180.0	
92 9 -12.6667 102.9999 -12.6667 102.9999 1.272997e+05 0.34 217.56 203.46 1998-05-01-06 17.26 -45.0	
92 9 -13.0000 103.3332 -13.0000 103.3332 1.352090e+05 0.41 220.84 198.78 1998-05-01-09 NaN NaN	
93 6 4.3333 127.3332 4.6667 127.3332 9.587209e+03 0.26 229.28 221.54 1998-05-01-03 17.44 45.0	
93 6 5.0000 127.6665 5.0000 127.6665 6.842867e+03 NaN 225.28 218.86 1998-05-01-06 12.35 90.0	
93 6 5.3333 127.6665 5.3333 127.6665 1.641196e+04 0.41 226.33 220.87 1998-05-01-09 NaN NaN	
94 6 0.3333 3.6667 0.3333 3.6667 6.868913e+03 NaN 220.46 208.82 1998-05-01-03 27.63 -153.4	
