ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 27.3333 121.3332 27.3333 121.3332 1.585379e+04 0.30 230.39 225.55 1987-06-01-00 NaN NaN	
2 0 19.3333 289.9997 19.3333 289.9997 2.073320e+04 0.45 223.71 216.18 1987-06-01-00 NaN NaN	
3 0 16.6666 226.6664 16.6666 226.6664 6.582750e+03 NaN 228.23 224.88 1987-06-01-00 NaN NaN	
4 0 15.6667 83.6666 15.6667 83.6666 1.058631e+04 0.46 223.54 216.18 1987-06-01-00 NaN NaN	
5 0 15.0000 269.6664 15.0000 269.6664 1.724222e+04 0.49 222.72 213.50 1987-06-01-00 NaN NaN	
6 0 14.3333 81.9999 14.3333 81.9999 6.659054e+03 NaN 225.55 218.19 1987-06-01-00 NaN NaN	
7 0 13.6667 7.6667 13.6667 8.0000 6.670655e+03 NaN 229.57 224.21 1987-06-01-00 NaN NaN	
8 0 14.0000 84.3332 14.0000 84.3332 5.328098e+03 NaN 228.06 218.19 1987-06-01-00 NaN NaN	
9 0 12.6667 116.3332 12.6667 116.3332 8.040430e+03 0.62 228.45 222.87 1987-06-01-00 NaN NaN	
10 0 13.6667 177.9998 13.3333 177.9998 3.739193e+04 0.23 226.32 220.20 1987-06-01-00 NaN NaN	
11 0 11.0000 347.3330 11.0000 347.3330 1.078997e+04 0.82 224.63 212.17 1987-06-01-00 NaN NaN	
12 0 10.3333 286.9997 10.6667 286.6664 5.403201e+03 NaN 225.38 216.18 1987-06-01-00 NaN NaN	
13 0 8.3333 273.9997 8.3333 273.9997 6.797524e+03 NaN 229.83 226.89 1987-06-01-00 NaN NaN	
14 0 9.0000 234.6664 9.3333 234.6664 2.170410e+04 0.71 224.00 212.83 1987-06-01-00 NaN NaN	
15 0 7.0000 272.9997 7.0000 272.6664 1.090643e+04 0.70 226.30 217.52 1987-06-01-00 NaN NaN	
16 0 6.6667 300.3330 6.6667 300.3330 6.824416e+03 0.00 222.47 218.86 1987-06-01-00 NaN NaN	
17 0 5.3333 136.3332 5.3333 136.3332 1.094056e+04 0.50 215.09 208.82 1987-06-01-00 NaN NaN	
18 0 5.0000 349.6663 5.0000 349.6663 6.842867e+03 NaN 224.75 216.18 1987-06-01-00 NaN NaN	
19 0 4.0000 276.9997 4.0000 276.6664 8.222737e+03 0.25 224.77 209.49 1987-06-01-00 NaN NaN	
