ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.6666 252.9997 29.6666 252.9997 9.557678e+03 0.59 227.22 221.54 1994-09-01-00 NaN NaN	
2 0 28.0000 205.3331 28.0000 205.3331 6.064972e+03 0.31 228.76 224.88 1994-09-01-00 NaN NaN	
3 0 26.3333 87.6666 26.3333 87.6666 4.307037e+04 0.74 223.73 215.51 1994-09-01-00 NaN NaN	
4 0 25.3333 176.6665 25.3333 176.6665 1.242024e+04 0.63 228.43 222.87 1994-09-01-00 NaN NaN	
5 0 22.6666 278.3330 22.6666 278.3330 5.064600e+03 NaN 219.19 216.85 1994-09-01-00 NaN NaN	
6 0 22.6666 88.9999 22.6666 88.9999 5.073861e+03 NaN 227.89 224.21 1994-09-01-00 NaN NaN	
7 0 21.0000 72.9999 21.0000 72.9999 7.686631e+03 0.00 227.67 222.87 1994-09-01-00 NaN NaN	
8 0 20.3333 282.6664 20.3333 282.6664 1.159095e+04 0.39 219.30 213.50 1994-09-01-00 NaN NaN	
9 0 15.3333 268.9997 14.6667 268.6664 3.048971e+04 0.57 222.44 204.80 1994-09-01-00 NaN NaN	
10 0 12.3333 24.6666 12.3333 25.0000 6.712164e+03 0.00 215.24 200.79 1994-09-01-00 NaN NaN	
11 0 10.0000 206.3331 10.0000 206.3331 9.467707e+03 0.80 225.74 215.51 1994-09-01-00 NaN NaN	
12 0 10.0000 289.3330 10.0000 288.9997 5.408935e+03 NaN 228.40 222.87 1994-09-01-00 NaN NaN	
13 0 9.0000 148.6665 9.0000 148.3332 8.140060e+03 0.23 227.11 220.20 1994-09-01-00 NaN NaN	
14 0 9.0000 172.6665 9.0000 172.6665 1.085381e+04 0.32 221.70 210.16 1994-09-01-00 NaN NaN	
15 0 7.6667 6.6667 7.6667 6.6667 2.041832e+04 0.73 229.57 224.88 1994-09-01-00 NaN NaN	
16 0 8.6667 218.3331 8.6667 218.6664 2.308760e+04 0.58 226.54 212.17 1994-09-01-00 NaN NaN	
17 0 7.6667 8.6667 7.6667 8.6667 1.089215e+04 0.75 227.56 222.20 1994-09-01-00 NaN NaN	
18 0 8.3333 27.3333 8.3333 27.6666 6.798797e+03 0.00 227.29 221.54 1994-09-01-00 NaN NaN	
19 0 7.0000 268.3330 7.0000 268.3330 8.182327e+03 0.55 225.33 221.54 1994-09-01-00 NaN NaN	
20 0 5.0000 305.3330 5.0000 305.3330 5.472891e+03 NaN 222.04 217.52 1994-09-01-00 NaN NaN	
21 0 3.6667 91.9999 3.6667 92.3332 4.935638e+04 0.45 225.29 215.51 1994-09-01-00 NaN NaN	
22 0 1.6667 291.9997 1.6667 291.6664 6.866309e+03 NaN 219.13 211.50 1994-09-01-00 NaN NaN	
23 0 0.0000 290.6664 0.0000 290.6664 5.495195e+03 NaN 225.38 221.54 1994-09-01-00 NaN NaN	
24 0 -3.0000 298.3330 -3.0000 298.3330 1.097533e+04 0.41 222.96 210.83 1994-09-01-00 NaN NaN	
25 0 -4.3333 58.6666 -4.0000 58.6666 5.480694e+03 NaN 225.89 224.21 1994-09-01-00 NaN NaN	
26 0 -6.3333 159.3332 -6.3333 159.3332 9.557890e+03 0.58 223.64 208.15 1994-09-01-00 NaN NaN	
27 0 -11.3333 303.3330 -11.3333 303.3330 5.386494e+03 NaN 226.56 221.54 1994-09-01-00 NaN NaN	
28 0 -23.0000 296.9997 -22.6666 296.9997 1.012584e+04 0.26 231.57 230.24 1994-09-01-00 NaN NaN	
29 0 -28.3333 299.6664 -28.6666 299.6664 7.251443e+03 NaN 228.67 224.88 1994-09-01-00 NaN NaN	
30 0 -29.6666 250.9997 -29.6666 250.9997 1.073944e+04 NaN 231.35 229.57 1994-09-01-00 NaN NaN	
31 3 22.0000 279.9997 22.0000 279.9997 7.639505e+03 0.00 217.97 210.83 1994-09-01-00 54.52 -63.4	
31 3 20.6666 280.6664 20.6666 280.6664 1.156554e+04 0.28 224.44 209.49 1994-09-01-03 NaN NaN	
32 3 18.6666 288.3330 18.6666 287.9997 1.562346e+04 0.50 216.24 206.81 1994-09-01-00 17.03 -135.0	
32 3 18.3333 287.6664 18.3333 287.6664 1.563627e+04 0.00 225.22 219.53 1994-09-01-03 NaN NaN	
33 3 16.6666 106.9999 17.0000 106.9999 1.051942e+04 0.34 226.05 218.19 1994-09-01-00 37.06 90.0	
33 3 18.0000 106.9999 18.0000 106.9999 6.527785e+03 NaN 220.06 210.83 1994-09-01-03 NaN NaN	
34 3 15.0000 276.6664 15.0000 276.6664 5.973720e+04 0.79 221.03 208.15 1994-09-01-00 17.17 45.0	
34 3 15.3333 276.9997 15.3333 276.9997 2.118108e+04 0.66 229.32 224.88 1994-09-01-03 NaN NaN	
35 3 11.0000 158.3332 11.0000 158.3332 2.292181e+04 0.86 212.44 197.44 1994-09-01-00 27.21 153.4	
35 3 11.3333 157.6665 11.3333 157.6665 5.250717e+04 0.80 214.36 194.09 1994-09-01-03 NaN NaN	
36 3 9.6667 352.9996 9.6667 352.9996 1.625638e+04 0.40 226.95 218.19 1994-09-01-00 17.34 135.0	
36 3 10.0000 352.6663 10.0000 352.6663 3.113001e+04 0.51 224.79 215.51 1994-09-01-03 NaN NaN	
37 3 8.3333 278.3330 8.3333 278.3330 1.903231e+04 0.54 219.58 203.46 1994-09-01-00 27.40 -153.4	
37 3 8.0000 277.6664 8.0000 277.6664 8.160327e+03 0.60 226.11 220.20 1994-09-01-03 NaN NaN	
38 3 3.6667 294.6664 4.0000 294.6664 5.482924e+03 NaN 222.37 215.51 1994-09-01-00 27.61 -116.6	
38 3 3.3333 294.3330 3.3333 294.3330 3.703294e+04 0.63 218.91 205.47 1994-09-01-03 NaN NaN	
39 3 2.0000 83.9999 2.3333 83.9999 9.609723e+03 0.44 230.04 226.22 1994-09-01-00 69.87 -135.0	
39 3 0.6667 82.6666 1.0000 82.6666 5.494637e+03 NaN 228.40 223.54 1994-09-01-03 NaN NaN	
40 3 -1.6667 178.3331 -1.6667 178.3331 1.098523e+04 0.59 218.69 204.80 1994-09-01-00 39.05 -161.6	
40 3 -1.6667 177.3331 -2.0000 177.3331 2.608996e+04 0.74 223.16 206.81 1994-09-01-03 NaN NaN	
41 3 -8.0000 167.9998 -8.0000 167.6665 2.177317e+04 0.80 216.35 202.13 1994-09-01-00 12.35 -90.0	
41 3 -8.3333 167.6665 -8.3333 167.6665 6.798331e+04 0.33 211.83 189.41 1994-09-01-03 NaN NaN	
42 0 28.0000 124.6665 28.0000 124.6665 1.333142e+04 0.40 223.00 215.51 1994-09-01-03 NaN NaN	
43 0 27.3333 127.3332 27.3333 127.3332 6.098393e+03 NaN 228.90 223.54 1994-09-01-03 NaN NaN	
44 0 24.0000 85.6666 24.0000 85.6666 5.020111e+03 NaN 225.89 220.87 1994-09-01-03 NaN NaN	
45 0 18.3333 110.6665 18.3333 110.6665 9.128468e+03 0.55 224.69 211.50 1994-09-01-03 NaN NaN	
46 0 14.3333 256.9997 14.3333 256.9997 3.458876e+04 0.52 228.31 213.50 1994-09-01-03 NaN NaN	
47 0 14.0000 250.3331 14.0000 250.3331 2.133332e+04 0.89 225.01 214.84 1994-09-01-03 NaN NaN	
48 0 10.6667 244.9997 10.6667 244.9997 8.101842e+03 0.62 224.32 209.49 1994-09-01-03 NaN NaN	
49 0 10.6667 40.0000 10.6667 40.0000 9.454873e+03 0.00 224.50 216.18 1994-09-01-03 NaN NaN	
50 0 10.3333 279.9997 10.3333 279.9997 9.457740e+03 0.96 227.46 222.20 1994-09-01-03 NaN NaN	
51 0 9.6667 111.6665 9.6667 111.6665 5.415852e+03 NaN 227.56 223.54 1994-09-01-03 NaN NaN	
52 0 9.0000 141.6665 9.0000 141.6665 1.492295e+04 0.59 219.22 205.47 1994-09-01-03 NaN NaN	
53 0 9.0000 114.6665 8.6667 114.3332 1.221552e+04 0.26 223.17 207.48 1994-09-01-03 NaN NaN	
54 0 8.0000 294.9997 8.0000 294.6664 9.525217e+03 NaN 225.17 218.86 1994-09-01-03 NaN NaN	
55 0 7.3333 160.9998 7.6667 160.9998 5.448206e+03 NaN 227.89 224.21 1994-09-01-03 NaN NaN	
56 0 7.3333 278.9997 7.3333 278.9997 9.539960e+03 0.80 223.54 212.17 1994-09-01-03 NaN NaN	
57 0 6.6667 275.3330 6.6667 275.3330 5.458944e+03 NaN 230.74 227.56 1994-09-01-03 NaN NaN	
58 0 6.0000 157.9998 6.0000 157.6665 5.463421e+03 NaN 223.71 218.86 1994-09-01-03 NaN NaN	
59 0 6.0000 344.9996 6.0000 344.9996 6.830518e+03 NaN 227.69 222.87 1994-09-01-03 NaN NaN	
60 0 4.3333 20.6666 4.3333 20.6666 1.780435e+04 0.69 224.83 214.84 1994-09-01-03 NaN NaN	
61 0 4.6667 169.3332 4.6667 169.3332 1.643003e+04 0.81 223.54 212.83 1994-09-01-03 NaN NaN	
62 0 2.6667 168.9998 2.6667 168.6665 2.195893e+04 0.76 227.02 222.87 1994-09-01-03 NaN NaN	
63 0 2.0000 118.9999 2.3333 118.9999 2.333813e+04 0.35 224.06 212.83 1994-09-01-03 NaN NaN	
64 0 1.6667 180.6665 1.6667 180.9998 6.866518e+03 NaN 218.72 211.50 1994-09-01-03 NaN NaN	
65 0 -0.3333 55.3333 -0.3333 55.3333 6.868983e+03 0.00 227.43 223.54 1994-09-01-03 NaN NaN	
66 0 -1.0000 67.9999 -1.0000 67.9999 6.867843e+03 NaN 221.94 210.83 1994-09-01-03 NaN NaN	
67 0 -2.0000 308.3330 -2.0000 308.3330 6.864868e+03 NaN 223.01 217.52 1994-09-01-03 NaN NaN	
68 0 -3.0000 80.6666 -2.6667 80.6666 1.372107e+04 0.61 228.50 222.20 1994-09-01-03 NaN NaN	
69 0 -5.0000 149.6665 -5.0000 149.6665 1.231769e+04 0.27 226.96 218.19 1994-09-01-03 NaN NaN	
70 0 -5.0000 169.6665 -5.3333 169.6665 4.241483e+04 0.33 224.56 207.48 1994-09-01-03 NaN NaN	
71 0 -8.6667 174.6665 -8.6667 174.6665 6.791755e+03 NaN 228.50 221.54 1994-09-01-03 NaN NaN	
72 6 17.6666 259.9997 17.6666 259.9997 7.851623e+03 0.20 225.66 218.19 1994-09-01-00 17.06 135.0	
72 6 18.0000 259.6664 18.0000 259.6664 1.827358e+04 0.29 226.56 216.85 1994-09-01-03 27.35 116.6	
72 6 18.6666 259.3331 18.6666 259.3331 2.342952e+04 0.63 220.01 204.13 1994-09-01-06 NaN NaN	
73 6 12.3333 278.3330 12.3333 278.3330 8.050854e+03 0.62 221.65 215.51 1994-09-01-00 17.28 -135.0	
73 6 12.0000 277.9997 12.0000 277.9997 4.032853e+04 0.44 211.59 200.79 1994-09-01-03 17.29 -135.0	
73 6 11.6667 277.6664 11.6667 277.6664 8.067717e+04 0.44 218.47 203.46 1994-09-01-06 NaN NaN	
74 6 -1.3333 173.6665 -1.3333 173.6665 1.373511e+04 0.32 222.07 201.46 1994-09-01-00 113.86 -167.5	
74 6 -2.0000 170.6665 -2.0000 170.6665 1.207967e+05 0.50 218.56 196.77 1994-09-01-03 12.35 180.0	
74 6 -2.3333 170.3332 -2.0000 170.3332 2.196474e+04 0.55 225.01 216.18 1994-09-01-06 NaN NaN	
75 6 -8.3333 186.3331 -8.3333 186.3331 6.660835e+04 0.65 214.39 194.76 1994-09-01-00 27.40 153.4	
75 6 -8.0000 185.9998 -8.0000 185.6665 6.529309e+04 0.64 223.24 210.83 1994-09-01-03 24.71 90.0	
75 6 -7.3333 185.6665 -7.3333 185.6665 8.175209e+03 NaN 230.24 228.23 1994-09-01-06 NaN NaN	
76 6 -9.6667 182.9998 -9.6667 183.3331 1.353999e+04 0.60 222.61 209.49 1994-09-01-00 27.54 -63.4	
76 6 -10.3333 183.6665 -10.3333 183.6665 2.297999e+04 0.43 221.02 208.82 1994-09-01-03 27.53 -63.4	
76 6 -11.0000 183.9998 -11.0000 183.9998 5.397283e+03 NaN 228.40 227.56 1994-09-01-06 NaN NaN	
77 3 28.6666 202.9998 28.6666 202.9998 1.083714e+04 0.54 227.56 222.20 1994-09-01-03 69.38 161.6	
77 3 29.3333 200.9998 29.3333 200.9998 9.577316e+03 0.32 226.72 222.87 1994-09-01-06 NaN NaN	
78 3 24.0000 81.9999 23.6666 81.9999 1.382140e+04 0.75 225.13 209.49 1994-09-01-03 86.67 56.3	
78 3 25.6666 83.3332 25.6666 83.3332 7.429491e+03 NaN 224.32 220.87 1994-09-01-06 NaN NaN	
79 3 23.6666 257.9997 23.6666 257.9997 7.549522e+03 0.55 226.22 220.20 1994-09-01-03 24.71 -90.0	
79 3 23.0000 258.3331 23.0000 257.9997 7.587510e+03 0.00 228.90 218.86 1994-09-01-06 NaN NaN	
80 3 22.6666 83.9999 22.6666 83.9999 5.070760e+03 0.00 231.74 230.91 1994-09-01-03 62.25 -21.8	
80 3 22.0000 85.6666 22.0000 85.6666 3.314654e+04 0.65 225.19 215.51 1994-09-01-06 NaN NaN	
81 3 19.3333 152.9998 19.0000 152.9998 1.427228e+04 0.16 220.62 204.13 1994-09-01-03 38.85 71.6	
81 3 20.0000 153.3332 20.0000 153.3332 2.192947e+04 0.58 224.76 214.84 1994-09-01-06 NaN NaN	
82 3 17.0000 258.6664 17.0000 258.6664 1.577188e+04 0.47 222.26 204.13 1994-09-01-03 24.71 -90.0	
82 3 16.3333 258.6664 16.3333 258.6664 1.844778e+04 0.99 225.36 214.84 1994-09-01-06 NaN NaN	
83 3 10.0000 274.3330 10.0000 274.3330 5.816827e+04 0.67 223.68 206.14 1994-09-01-03 52.06 -135.0	
83 3 9.0000 273.6664 9.0000 273.3330 1.356751e+04 0.74 226.15 219.53 1994-09-01-06 NaN NaN	
84 3 7.0000 273.3330 6.6667 272.9997 5.318581e+04 0.52 221.21 209.49 1994-09-01-03 12.27 180.0	
84 3 7.0000 272.6664 6.6667 272.6664 2.318664e+04 0.32 228.23 216.85 1994-09-01-06 NaN NaN	
85 3 7.0000 101.9999 7.0000 101.9999 6.815857e+03 0.00 225.02 221.54 1994-09-01-03 44.29 33.7	
85 3 7.6667 102.9999 7.6667 102.9999 3.268614e+04 0.37 218.89 207.48 1994-09-01-06 NaN NaN	
86 3 6.0000 69.3333 6.0000 69.3333 1.229556e+04 0.51 227.41 220.20 1994-09-01-03 44.36 146.3	
86 3 6.6667 68.3333 6.6667 68.3333 5.458990e+03 NaN 226.05 224.21 1994-09-01-06 NaN NaN	
87 3 5.6667 104.3332 5.6667 104.3332 4.784510e+04 0.62 219.26 207.48 1994-09-01-03 17.43 -45.0	
87 3 5.3333 104.6666 5.3333 104.6666 8.204819e+04 0.37 216.36 200.12 1994-09-01-06 NaN NaN	
88 3 -0.3333 134.6665 -0.3333 134.6665 9.616580e+03 NaN 218.86 204.80 1994-09-01-03 27.63 153.4	
88 3 0.0000 133.9999 0.0000 133.9999 6.869029e+03 NaN 228.23 225.55 1994-09-01-06 NaN NaN	
89 0 26.0000 66.9999 26.3333 66.9999 8.632835e+03 0.00 227.85 216.18 1994-09-01-06 NaN NaN	
90 0 25.6666 208.9998 25.6666 208.9998 1.114073e+04 0.32 227.41 220.87 1994-09-01-06 NaN NaN	
91 0 24.3333 162.9998 24.3333 162.9998 1.001732e+04 0.46 221.70 213.50 1994-09-01-06 NaN NaN	
92 0 20.6666 79.6666 20.6666 79.9999 2.442239e+04 0.44 221.89 208.82 1994-09-01-06 NaN NaN	
93 0 20.6666 259.6664 20.6666 259.6664 1.541043e+04 0.59 227.00 218.86 1994-09-01-06 NaN NaN	
94 0 18.0000 261.9997 18.0000 261.6664 7.836892e+03 0.60 230.12 222.87 1994-09-01-06 NaN NaN	
95 0 16.3333 100.6666 16.3333 100.6666 7.910107e+03 0.41 223.54 217.52 1994-09-01-06 NaN NaN	
96 0 16.0000 152.6665 16.3333 152.3332 5.277915e+03 NaN 229.06 224.88 1994-09-01-06 NaN NaN	
97 0 15.6667 165.9998 16.0000 165.9998 7.930001e+03 NaN 220.87 213.50 1994-09-01-06 NaN NaN	
98 0 15.6667 130.6665 15.6667 130.6665 7.938723e+03 0.24 220.75 207.48 1994-09-01-06 NaN NaN	
99 0 11.3333 121.6665 11.3333 121.9999 2.695022e+04 0.66 223.71 205.47 1994-09-01-06 NaN NaN	
100 0 11.3333 130.6665 11.3333 130.6665 2.424566e+04 0.41 227.22 216.85 1994-09-01-06 NaN NaN	
101 0 11.3333 149.9998 11.3333 149.9998 5.388042e+03 NaN 222.54 217.52 1994-09-01-06 NaN NaN	
102 0 11.0000 83.6666 11.0000 83.6666 5.391183e+03 NaN 227.56 225.55 1994-09-01-06 NaN NaN	
103 3 8.0000 116.9999 8.0000 117.3332 3.809028e+04 0.48 217.83 199.45 1994-09-01-03 0.00 0.0	
103 3 8.0000 117.6665 8.0000 117.3332 7.890875e+04 0.31 213.20 194.09 1994-09-01-06 NaN NaN	
104 0 10.0000 264.9997 10.0000 264.9997 9.470483e+03 0.58 221.06 212.17 1994-09-01-06 NaN NaN	
105 0 8.3333 265.3331 8.3333 265.3331 8.155740e+03 0.55 220.64 212.17 1994-09-01-06 NaN NaN	
106 0 7.0000 108.3332 7.0000 108.3332 5.455232e+03 NaN 226.72 222.20 1994-09-01-06 NaN NaN	
107 0 6.0000 261.9997 6.0000 261.9997 5.465092e+03 0.00 226.72 224.88 1994-09-01-06 NaN NaN	
