ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 29.6666 158.3332 29.6666 157.9998 7.162304e+03 0.00 225.22 222.87 1996-05-01-00 NaN NaN	
2 0 28.6666 159.3332 28.3333 159.3332 1.326647e+04 0.37 228.96 222.20 1996-05-01-00 NaN NaN	
3 0 24.6666 158.6665 24.6666 158.6665 8.745749e+03 0.38 228.23 218.86 1996-05-01-00 NaN NaN	
4 0 15.0000 268.6664 15.3333 268.3330 1.856312e+04 0.55 219.72 202.13 1996-05-01-00 NaN NaN	
5 0 12.0000 259.6664 12.0000 259.6664 1.075355e+04 0.59 219.78 207.48 1996-05-01-00 NaN NaN	
6 0 9.0000 313.6664 9.0000 313.3330 2.170502e+04 0.63 229.02 224.21 1996-05-01-00 NaN NaN	
7 0 8.0000 268.6664 8.3333 268.3330 5.439492e+03 NaN 223.04 219.53 1996-05-01-00 NaN NaN	
8 0 8.0000 41.6666 8.0000 41.6666 6.803293e+03 NaN 226.35 214.17 1996-05-01-00 NaN NaN	
9 0 7.6667 189.9998 7.6667 190.3331 6.806514e+03 NaN 230.50 227.56 1996-05-01-00 NaN NaN	
10 0 7.0000 267.3331 7.0000 267.3331 5.455232e+03 NaN 229.90 225.55 1996-05-01-00 NaN NaN	
11 0 6.6667 187.6665 6.6667 187.6665 2.728625e+04 0.40 226.69 220.20 1996-05-01-00 NaN NaN	
12 0 6.3333 242.3331 6.3333 242.3331 5.462516e+03 NaN 231.41 230.24 1996-05-01-00 NaN NaN	
13 0 5.6667 53.9999 5.6667 53.9999 8.201723e+03 0.55 222.87 213.50 1996-05-01-00 NaN NaN	
14 0 5.3333 301.6664 5.3333 301.3330 1.094488e+04 0.31 227.06 218.19 1996-05-01-00 NaN NaN	
15 0 5.0000 294.6664 5.0000 294.6664 1.231715e+04 0.51 224.73 211.50 1996-05-01-00 NaN NaN	
