ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 30.0000 243.9997 30.0000 243.9997 5.956726e+03 0.00 231.98 230.24 1988-05-01-00 NaN NaN	
2 0 23.0000 96.9999 23.0000 96.9999 1.011356e+04 0.82 229.48 226.89 1988-05-01-00 NaN NaN	
3 0 21.3333 90.9999 21.3333 90.9999 5.121592e+03 NaN 231.07 229.57 1988-05-01-00 NaN NaN	
4 0 17.0000 268.9997 17.0000 268.9997 2.496345e+04 0.71 214.42 206.81 1988-05-01-00 NaN NaN	
5 0 11.3333 197.3331 11.3333 197.6665 9.425920e+03 0.60 225.65 218.19 1988-05-01-00 NaN NaN	
6 0 10.0000 21.0000 10.0000 21.0000 6.764650e+03 NaN 223.14 214.84 1988-05-01-00 NaN NaN	
7 0 6.3333 76.3333 6.3333 76.3333 1.502131e+04 0.31 226.04 217.52 1988-05-01-00 NaN NaN	
8 0 6.3333 122.6665 6.3333 122.9999 6.826179e+03 NaN 222.74 214.17 1988-05-01-00 NaN NaN	
9 0 6.6667 342.9996 6.6667 342.9996 9.554363e+03 NaN 224.69 217.52 1988-05-01-00 NaN NaN	
10 0 5.6667 274.6664 5.6667 274.6664 1.777586e+04 0.83 225.60 216.85 1988-05-01-00 NaN NaN	
11 0 1.6667 45.3333 1.6667 45.3333 1.922370e+04 0.80 225.03 216.18 1988-05-01-00 NaN NaN	
12 0 1.6667 334.6663 1.6667 334.6663 5.493126e+03 NaN 222.37 208.82 1988-05-01-00 NaN NaN	
13 0 -0.3333 93.9999 -0.3333 93.9999 6.868913e+03 NaN 228.50 226.89 1988-05-01-00 NaN NaN	
14 0 -0.6667 143.6665 -0.6667 143.6665 5.494754e+03 NaN 225.72 213.50 1988-05-01-00 NaN NaN	
15 0 -1.3333 306.6664 -1.3333 306.6664 1.167214e+05 0.68 218.77 198.11 1988-05-01-00 NaN NaN	
16 0 -2.3333 155.6665 -2.3333 155.6665 5.491290e+03 NaN 231.57 230.91 1988-05-01-00 NaN NaN	
17 0 -3.0000 339.3330 -3.0000 339.3330 8.230683e+03 NaN 223.88 219.53 1988-05-01-00 NaN NaN	
18 0 -5.6667 12.6667 -5.6667 12.6667 6.837017e+03 0.00 226.89 219.53 1988-05-01-00 NaN NaN	
19 0 -5.6667 321.3330 -5.3333 320.9997 5.469920e+03 NaN 229.90 224.88 1988-05-01-00 NaN NaN	
20 0 -7.0000 67.9999 -7.0000 67.9999 3.409614e+04 0.56 228.17 220.87 1988-05-01-00 NaN NaN	
21 0 -6.6667 312.3330 -6.6667 312.3330 9.549701e+03 0.38 225.55 216.18 1988-05-01-00 NaN NaN	
22 0 -8.0000 72.9999 -8.0000 73.3333 1.496874e+04 0.64 223.24 211.50 1988-05-01-00 NaN NaN	
23 0 -9.0000 21.6666 -9.0000 21.6666 5.021549e+04 0.52 216.18 201.46 1988-05-01-00 NaN NaN	
24 0 -10.6667 203.3331 -10.3333 203.3331 5.403201e+03 NaN 226.89 219.53 1988-05-01-00 NaN NaN	
25 0 -21.0000 214.9998 -21.0000 214.9998 5.127364e+03 NaN 224.88 222.20 1988-05-01-00 NaN NaN	
26 0 -24.0000 156.3332 -24.0000 156.3332 6.271877e+03 NaN 232.65 232.24 1988-05-01-00 NaN NaN	
27 0 -25.0000 189.6665 -25.0000 189.3331 6.222077e+03 NaN 229.43 226.89 1988-05-01-00 NaN NaN	
28 0 -25.0000 179.6665 -25.0000 179.6665 6.225391e+03 NaN 231.31 230.91 1988-05-01-00 NaN NaN	
29 0 -25.6666 184.3331 -25.6666 184.3331 9.895595e+03 0.00 231.32 230.24 1988-05-01-00 NaN NaN	
30 0 -27.6666 129.9999 -27.3333 129.9999 6.090970e+03 0.00 229.43 225.55 1988-05-01-00 NaN NaN	
31 0 -27.0000 170.9998 -27.0000 170.6665 7.344445e+03 NaN 225.44 222.20 1988-05-01-00 NaN NaN	
32 0 -28.3333 126.6665 -28.3333 126.6665 1.451818e+04 0.50 227.61 223.54 1988-05-01-00 NaN NaN	
33 0 -29.0000 121.6665 -29.3333 121.6665 5.999937e+03 0.00 230.50 225.55 1988-05-01-00 NaN NaN	
34 0 -29.6666 260.9997 -30.0000 260.6664 1.192530e+04 0.40 227.09 218.86 1988-05-01-00 NaN NaN	
35 3 19.3333 263.6664 19.0000 263.6664 6.486944e+03 NaN 221.80 212.83 1988-05-01-00 43.85 -56.3	
35 3 17.6666 264.3331 18.0000 264.3331 2.877186e+04 0.69 221.38 212.83 1988-05-01-03 NaN NaN	
36 3 6.3333 288.9997 6.0000 288.9997 3.414241e+04 0.95 224.45 214.84 1988-05-01-00 27.59 116.6	
36 3 6.6667 288.6664 6.6667 288.6664 9.551556e+03 0.58 230.43 229.57 1988-05-01-03 NaN NaN	
37 3 6.3333 229.6664 6.0000 230.6664 8.875274e+04 0.75 224.68 207.48 1988-05-01-00 17.42 45.0	
37 3 6.3333 230.6664 6.3333 230.9998 2.048531e+04 0.72 228.67 218.86 1988-05-01-03 NaN NaN	
38 3 2.0000 287.3330 2.0000 287.3330 6.865077e+03 NaN 225.55 218.86 1988-05-01-00 12.35 0.0	
38 3 1.6667 287.6664 2.0000 287.6664 8.239445e+03 0.00 227.67 223.54 1988-05-01-03 NaN NaN	
39 3 -0.3333 83.9999 0.0000 83.9999 5.495195e+03 NaN 228.90 226.89 1988-05-01-00 61.77 143.1	
39 3 1.0000 82.6666 1.0000 82.6666 6.396430e+05 0.66 211.07 187.40 1988-05-01-03 NaN NaN	
40 3 -2.3333 322.3330 -2.6667 322.3330 2.333207e+04 0.88 218.35 201.46 1988-05-01-00 12.34 180.0	
40 3 -2.6667 322.3330 -2.6667 321.9997 1.646694e+04 0.50 225.44 218.19 1988-05-01-03 NaN NaN	
41 3 -3.6667 311.6664 -3.6667 311.6664 1.508110e+04 0.47 220.26 210.83 1988-05-01-00 12.33 180.0	
41 3 -3.6667 311.3330 -3.6667 311.3330 1.645326e+04 0.48 222.26 207.48 1988-05-01-03 NaN NaN	
42 3 -5.3333 26.0000 -5.3333 25.6666 9.709835e+04 0.61 215.91 201.46 1988-05-01-00 89.54 -15.9	
42 3 -6.0000 28.0000 -6.0000 28.0000 9.561416e+03 0.00 221.25 211.50 1988-05-01-03 NaN NaN	
43 3 -5.3333 48.3333 -5.3333 48.3333 1.230833e+04 0.37 218.64 210.16 1988-05-01-00 0.00 0.0	
43 3 -5.3333 48.3333 -5.3333 48.3333 8.206365e+03 0.62 224.44 216.85 1988-05-01-03 NaN NaN	
44 3 -7.6667 76.3333 -7.6667 76.3333 5.446074e+03 0.00 223.71 218.19 1988-05-01-00 24.49 180.0	
44 3 -7.6667 75.9999 -7.6667 75.6666 9.530618e+03 0.42 224.69 208.82 1988-05-01-03 NaN NaN	
45 3 -8.6667 15.0000 -8.6667 14.6667 2.850841e+04 0.56 223.07 214.84 1988-05-01-00 50.90 -104.0	
45 3 -10.0000 14.3333 -10.0000 14.3333 1.893368e+04 0.48 223.40 217.52 1988-05-01-03 NaN NaN	
46 3 -10.0000 304.3330 -10.0000 304.6664 6.763285e+03 NaN 226.49 220.87 1988-05-01-00 17.34 -135.0	
46 3 -10.3333 304.3330 -10.3333 304.3330 8.111992e+03 0.00 228.79 226.22 1988-05-01-03 NaN NaN	
47 3 -19.0000 152.9998 -19.0000 152.6665 6.497353e+03 NaN 231.17 228.23 1988-05-01-00 17.01 135.0	
47 3 -18.6666 152.3332 -18.6666 152.3332 1.430919e+04 0.32 223.42 214.84 1988-05-01-03 NaN NaN	
48 3 -19.3333 154.6665 -19.3333 154.3332 1.944203e+04 0.71 229.39 225.55 1988-05-01-00 61.77 -90.0	
48 3 -20.6666 154.3332 -21.0000 154.3332 1.155981e+04 0.68 229.64 226.89 1988-05-01-03 NaN NaN	
49 3 -20.3333 295.3330 -20.3333 294.9997 5.152773e+03 0.00 229.73 226.89 1988-05-01-00 11.59 0.0	
49 3 -20.3333 295.3330 -20.3333 295.3330 1.802340e+04 0.56 221.44 214.17 1988-05-01-03 NaN NaN	
50 3 -20.6666 163.6665 -20.6666 163.3332 8.989265e+03 NaN 231.00 229.57 1988-05-01-00 62.74 -21.8	
50 3 -21.3333 164.9998 -21.3333 164.9998 6.401269e+03 NaN 231.57 229.57 1988-05-01-03 NaN NaN	
51 3 -25.3333 154.3332 -25.3333 153.9998 6.201516e+03 0.00 231.04 228.90 1988-05-01-00 38.72 108.4	
51 3 -24.3333 153.6665 -24.3333 153.6665 4.756130e+04 0.83 229.48 224.88 1988-05-01-03 NaN NaN	
52 3 -29.6666 126.6665 -29.6666 126.6665 9.541854e+03 0.59 227.14 223.54 1988-05-01-00 34.54 18.4	
52 3 -29.3333 127.6665 -29.3333 127.6665 1.677480e+04 0.88 229.18 225.55 1988-05-01-03 NaN NaN	
53 0 19.6666 180.3331 19.6666 180.3331 1.033848e+04 NaN 229.57 228.23 1988-05-01-03 NaN NaN	
54 0 16.0000 290.6664 15.6667 290.6664 7.925684e+03 0.38 229.68 226.22 1988-05-01-03 NaN NaN	
55 0 12.0000 282.3330 12.0000 282.3330 6.717217e+03 NaN 227.02 223.54 1988-05-01-03 NaN NaN	
56 0 12.0000 283.9997 12.3333 283.6664 5.371789e+03 NaN 228.90 224.88 1988-05-01-03 NaN NaN	
57 0 11.0000 8.3333 11.0000 8.3333 1.078218e+04 0.38 229.90 226.89 1988-05-01-03 NaN NaN	
58 0 11.6667 280.9997 11.6667 281.3330 1.884041e+04 0.82 227.94 223.54 1988-05-01-03 NaN NaN	
59 0 11.0000 293.9997 11.3333 293.9997 2.426005e+04 0.70 228.49 220.20 1988-05-01-03 NaN NaN	
60 0 10.6667 279.6664 11.0000 279.3330 5.397283e+03 NaN 224.21 220.20 1988-05-01-03 NaN NaN	
61 0 9.6667 159.3332 9.6667 159.3332 9.478718e+03 0.26 228.71 222.20 1988-05-01-03 NaN NaN	
62 0 10.6667 167.9998 10.6667 167.6665 3.238648e+04 0.32 225.10 216.18 1988-05-01-03 NaN NaN	
63 0 9.0000 280.9997 8.6667 280.9997 6.785572e+03 NaN 228.90 223.54 1988-05-01-03 NaN NaN	
64 0 7.6667 289.9997 7.6667 289.9997 9.531707e+03 0.72 231.10 230.24 1988-05-01-03 NaN NaN	
65 0 8.0000 306.6664 8.0000 306.3330 1.903917e+04 0.51 225.69 219.53 1988-05-01-03 NaN NaN	
66 0 7.3333 293.3330 7.3333 293.3330 6.810779e+03 0.00 230.91 228.90 1988-05-01-03 NaN NaN	
67 0 6.3333 277.6664 6.3333 277.6664 2.457774e+04 0.88 229.98 224.88 1988-05-01-03 NaN NaN	
68 0 6.6667 285.3330 6.6667 285.3330 8.187035e+03 0.55 227.56 222.20 1988-05-01-03 NaN NaN	
69 0 6.3333 72.9999 6.3333 72.9999 1.092069e+04 0.00 222.96 215.51 1988-05-01-03 NaN NaN	
70 0 6.6667 110.3332 6.3333 110.3332 8.188891e+03 NaN 226.67 216.85 1988-05-01-03 NaN NaN	
71 0 6.6667 161.6665 6.6667 161.6665 1.227969e+04 0.44 230.53 225.55 1988-05-01-03 NaN NaN	
72 0 6.0000 144.6665 6.0000 144.6665 2.323306e+04 0.44 226.50 214.84 1988-05-01-03 NaN NaN	
73 0 3.0000 161.9998 3.0000 161.6665 1.509318e+04 0.00 223.00 214.84 1988-05-01-03 NaN NaN	
74 0 1.3333 151.9998 1.3333 151.6665 5.493545e+03 NaN 229.90 226.89 1988-05-01-03 NaN NaN	
75 0 0.6667 112.3332 0.6667 112.3332 1.648375e+04 0.50 230.12 223.54 1988-05-01-03 NaN NaN	
76 0 0.0000 124.9999 0.0000 124.9999 1.373787e+04 0.75 221.13 206.81 1988-05-01-03 NaN NaN	
77 0 -0.3333 50.6666 0.0000 50.6666 5.495195e+03 NaN 214.01 209.49 1988-05-01-03 NaN NaN	
78 0 -0.3333 346.3330 -0.3333 346.3330 8.242700e+03 0.38 226.67 214.84 1988-05-01-03 NaN NaN	
79 0 -2.6667 72.6666 -2.6667 72.6666 1.784159e+04 0.61 226.48 216.85 1988-05-01-03 NaN NaN	
80 0 -3.0000 70.6666 -3.0000 70.6666 1.097572e+04 0.82 227.39 222.87 1988-05-01-03 NaN NaN	
81 0 -3.3333 308.3330 -3.3333 307.9997 1.371379e+04 0.72 227.36 220.20 1988-05-01-03 NaN NaN	
82 0 -4.3333 71.9999 -4.3333 71.9999 6.848743e+03 0.00 223.81 217.52 1988-05-01-03 NaN NaN	
83 0 -4.3333 103.9999 -4.3333 103.9999 6.849950e+03 0.00 224.88 213.50 1988-05-01-03 NaN NaN	
84 0 -4.6667 98.9999 -4.3333 98.9999 8.216745e+03 0.58 231.24 229.57 1988-05-01-03 NaN NaN	
85 0 -5.0000 30.6666 -5.0000 30.6666 6.843541e+03 0.00 225.95 217.52 1988-05-01-03 NaN NaN	
86 0 -5.0000 295.3330 -5.0000 295.3330 5.473611e+03 NaN 229.23 226.22 1988-05-01-03 NaN NaN	
87 0 -6.6667 176.9998 -6.6667 177.3331 9.554271e+03 0.18 229.85 226.22 1988-05-01-03 NaN NaN	
88 0 -8.0000 17.0000 -8.0000 16.6666 5.443941e+03 NaN 221.70 217.52 1988-05-01-03 NaN NaN	
89 0 -9.0000 307.9997 -9.0000 307.9997 6.781936e+03 0.00 224.88 220.20 1988-05-01-03 NaN NaN	
90 0 -11.3333 67.6666 -11.3333 67.3333 9.430610e+03 0.80 225.74 217.52 1988-05-01-03 NaN NaN	
91 0 -13.6667 46.6666 -13.6667 46.6666 1.068095e+04 0.43 213.00 205.47 1988-05-01-03 NaN NaN	
92 0 -16.3333 147.6665 -16.3333 147.6665 5.271194e+03 NaN 230.74 228.23 1988-05-01-03 NaN NaN	
93 0 -25.0000 307.9997 -25.0000 307.9997 2.738449e+04 0.40 226.46 220.20 1988-05-01-03 NaN NaN	
94 0 -26.3333 304.6664 -26.3333 304.6664 2.831435e+04 0.56 230.24 226.22 1988-05-01-03 NaN NaN	
95 0 -29.6666 344.9996 -29.6666 344.6663 1.073554e+04 0.62 230.91 226.89 1988-05-01-03 NaN NaN	
96 6 23.3333 119.3332 23.3333 119.3332 6.307275e+03 NaN 223.41 221.54 1988-05-01-00 34.03 0.0	
96 6 23.3333 119.9999 23.3333 120.3332 1.008522e+04 0.42 226.22 222.20 1988-05-01-03 51.57 26.6	
96 6 23.6666 121.6665 24.0000 121.6665 6.284880e+03 0.00 230.64 229.57 1988-05-01-06 NaN NaN	
97 6 12.3333 100.3332 12.3333 100.3332 6.708749e+03 0.00 226.62 223.54 1988-05-01-00 34.52 45.0	
97 6 13.0000 100.9999 13.0000 100.9999 2.008178e+04 0.76 224.44 204.13 1988-05-01-03 179.65 -105.9	
97 6 8.6667 99.6666 8.3333 99.6666 1.601393e+05 0.37 222.76 202.80 1988-05-01-06 NaN NaN	
98 6 6.3333 104.3332 6.3333 104.3332 8.192464e+03 0.00 217.85 206.14 1988-05-01-00 17.42 -45.0	
98 6 6.0000 104.3332 6.0000 104.6666 6.830564e+03 NaN 223.54 215.51 1988-05-01-03 69.65 135.0	
98 6 7.3333 103.3332 7.3333 103.3332 2.179364e+04 0.64 218.90 206.14 1988-05-01-06 NaN NaN	
99 6 3.0000 276.6664 3.0000 276.6664 8.231078e+03 0.55 229.57 226.89 1988-05-01-00 24.68 180.0	
