ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 26.6666 265.6664 26.6666 265.6664 1.105254e+04 0.69 221.31 214.17 1990-07-01-00 NaN NaN	
2 0 25.6666 261.3331 25.6666 260.9997 8.301427e+04 0.51 228.19 221.54 1990-07-01-00 NaN NaN	
3 0 21.3333 193.9998 21.3333 193.9998 6.398296e+03 0.58 226.89 218.19 1990-07-01-00 NaN NaN	
4 0 20.3333 154.6665 20.3333 154.6665 6.446532e+03 NaN 225.02 222.20 1990-07-01-00 NaN NaN	
5 0 19.3333 260.9997 19.3333 260.9997 9.082159e+03 0.72 224.60 211.50 1990-07-01-00 NaN NaN	
6 0 17.6666 198.3331 17.6666 198.3331 5.231181e+03 NaN 227.89 225.55 1990-07-01-00 NaN NaN	
7 0 16.3333 96.6666 16.3333 96.6666 1.317454e+04 0.38 226.22 220.20 1990-07-01-00 NaN NaN	
8 0 15.0000 162.9998 15.0000 162.6665 1.060763e+04 0.00 227.89 222.20 1990-07-01-00 NaN NaN	
9 0 9.0000 279.6664 9.0000 279.3330 5.425040e+03 NaN 226.72 216.18 1990-07-01-00 NaN NaN	
10 0 8.6667 293.9997 8.6667 294.3330 6.789346e+03 NaN 230.24 228.23 1990-07-01-00 NaN NaN	
11 0 6.3333 220.6664 6.3333 220.6664 5.459802e+03 NaN 230.07 225.55 1990-07-01-00 NaN NaN	
12 0 5.6667 144.9998 5.6667 144.9998 9.571164e+03 0.96 223.26 216.85 1990-07-01-00 NaN NaN	
13 0 4.3333 262.3331 4.6667 262.3331 5.478279e+03 NaN 227.56 222.20 1990-07-01-00 NaN NaN	
14 0 4.0000 324.3330 4.0000 324.3330 1.644190e+04 0.58 226.33 219.53 1990-07-01-00 NaN NaN	
15 0 2.6667 150.3332 2.6667 150.3332 5.488501e+03 NaN 227.89 224.21 1990-07-01-00 NaN NaN	
16 0 1.6667 308.3330 1.6667 308.3330 6.865635e+03 0.00 231.17 228.90 1990-07-01-00 NaN NaN	
17 0 1.0000 25.0000 1.0000 25.0000 5.494521e+03 NaN 230.91 226.22 1990-07-01-00 NaN NaN	
18 0 -0.3333 120.3332 -0.3333 120.3332 6.868797e+03 0.00 223.94 204.13 1990-07-01-00 NaN NaN	
19 0 -1.0000 75.6666 -1.0000 75.6666 5.494521e+03 NaN 228.23 222.20 1990-07-01-00 NaN NaN	
20 0 -3.0000 80.9999 -2.6667 80.6666 5.488501e+03 NaN 226.89 224.21 1990-07-01-00 NaN NaN	
21 0 -6.6667 140.9998 -6.6667 140.9998 1.228150e+04 0.67 223.92 214.17 1990-07-01-00 NaN NaN	
22 0 -7.3333 68.6666 -7.3333 68.6666 3.134837e+04 0.66 227.62 223.54 1990-07-01-00 NaN NaN	
23 0 -12.6667 187.6665 -12.6667 187.6665 6.701785e+03 0.58 228.23 226.89 1990-07-01-00 NaN NaN	
24 0 -15.6667 148.9998 -15.6667 148.9998 6.609499e+03 0.00 221.80 212.83 1990-07-01-00 NaN NaN	
25 0 -24.0000 322.3330 -24.3333 322.3330 1.253708e+04 0.84 229.50 226.22 1990-07-01-00 NaN NaN	
26 3 29.6666 131.9999 29.6666 131.6665 2.387823e+04 0.51 222.00 212.17 1990-07-01-00 24.74 153.4	
26 3 30.0000 130.9999 30.0000 130.9999 8.328283e+03 NaN 225.07 220.87 1990-07-01-03 NaN NaN	
27 3 9.3333 354.6663 9.3333 354.6663 2.304368e+04 0.70 222.91 208.15 1990-07-01-00 39.01 71.6	
27 3 10.3333 354.9996 10.3333 354.9996 2.701691e+04 0.68 221.80 211.50 1990-07-01-03 NaN NaN	
28 3 5.6667 227.9998 5.6667 227.9998 6.835438e+03 NaN 229.83 224.21 1990-07-01-00 44.38 146.3	
28 3 6.6667 226.9998 6.3333 226.9998 6.823465e+03 0.00 230.50 226.89 1990-07-01-03 NaN NaN	
29 3 -2.0000 154.3332 -2.0000 154.3332 1.922070e+04 0.70 224.07 210.83 1990-07-01-00 34.93 -135.0	
29 3 -2.6667 153.9998 -2.6667 153.6665 1.372290e+04 0.43 220.40 208.82 1990-07-01-03 NaN NaN	
30 3 -2.3333 75.9999 -2.3333 75.9999 1.235260e+04 NaN 226.67 215.51 1990-07-01-00 61.72 0.0	
30 3 -2.3333 77.3333 -2.3333 77.6666 9.609258e+03 0.38 221.63 212.17 1990-07-01-03 NaN NaN	
31 3 -17.3333 322.3330 -17.3333 321.9997 7.870850e+03 0.23 228.45 226.22 1990-07-01-00 71.77 -9.5	
31 3 -17.6666 323.6663 -17.6666 323.9997 5.233629e+03 NaN 230.91 230.24 1990-07-01-03 NaN NaN	
32 0 29.3333 117.3332 29.3333 116.9999 9.565590e+03 0.00 225.97 208.82 1990-07-01-03 NaN NaN	
33 0 28.6666 136.3332 28.6666 136.3332 6.030854e+03 NaN 227.16 220.87 1990-07-01-03 NaN NaN	
34 0 28.3333 160.3332 28.3333 160.3332 2.298591e+04 0.43 219.32 204.13 1990-07-01-03 NaN NaN	
35 0 28.3333 186.6665 28.3333 186.6665 6.049881e+03 0.00 229.30 228.23 1990-07-01-03 NaN NaN	
36 0 25.6666 106.3332 25.6666 106.3332 2.229095e+04 0.33 226.78 216.85 1990-07-01-03 NaN NaN	
37 0 24.0000 264.6664 24.3333 264.6664 5.013609e+03 NaN 225.89 219.53 1990-07-01-03 NaN NaN	
38 0 23.3333 100.6666 23.3333 100.3332 7.575018e+03 NaN 227.78 226.22 1990-07-01-03 NaN NaN	
39 0 18.6666 264.6664 19.0000 264.3331 5.201014e+03 NaN 222.71 215.51 1990-07-01-03 NaN NaN	
