ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 30.0000 301.3330 30.0000 301.3330 7.146481e+03 NaN 228.79 224.21 2004-06-01-00 NaN NaN	
2 0 20.0000 106.6666 20.0000 106.3332 7.740247e+03 0.00 223.88 211.50 2004-06-01-00 NaN NaN	
3 0 20.0000 169.6665 20.0000 169.3332 1.290951e+04 0.28 226.42 219.53 2004-06-01-00 NaN NaN	
4 0 19.0000 74.6666 19.0000 74.6666 1.430132e+04 0.59 230.54 226.22 2004-06-01-00 NaN NaN	
5 0 19.0000 101.9999 19.0000 101.9999 6.499977e+03 0.00 228.90 226.22 2004-06-01-00 NaN NaN	
6 0 18.3333 257.3331 18.3333 257.3331 5.216274e+03 NaN 226.72 224.21 2004-06-01-00 NaN NaN	
7 0 18.3333 99.9999 18.0000 99.9999 1.043998e+04 0.41 228.14 222.87 2004-06-01-00 NaN NaN	
8 0 16.6666 98.3332 17.0000 98.3332 5.259666e+03 NaN 231.24 229.57 2004-06-01-00 NaN NaN	
9 0 12.6667 71.3333 12.6667 71.3333 6.698325e+03 0.00 224.21 215.51 2004-06-01-00 NaN NaN	
10 0 11.6667 78.6666 11.6667 78.6666 1.480445e+04 0.45 223.85 217.52 2004-06-01-00 NaN NaN	
11 0 11.6667 82.3332 11.6667 82.3332 1.480427e+04 0.31 218.92 205.47 2004-06-01-00 NaN NaN	
12 0 10.0000 71.3333 10.3333 71.3333 1.758106e+04 0.28 229.98 226.22 2004-06-01-00 NaN NaN	
13 0 9.3333 294.9997 9.3333 294.9997 6.775478e+03 0.00 228.76 226.89 2004-06-01-00 NaN NaN	
14 0 9.3333 82.3332 9.3333 82.3332 1.084489e+04 0.26 227.56 218.86 2004-06-01-00 NaN NaN	
15 0 7.6667 107.6666 7.6667 107.6666 6.808647e+03 0.74 227.69 223.54 2004-06-01-00 NaN NaN	
16 0 7.3333 118.3332 7.3333 118.3332 2.452368e+04 0.69 219.75 206.14 2004-06-01-00 NaN NaN	
17 0 6.6667 108.9999 6.6667 108.6665 5.458085e+03 NaN 227.56 224.21 2004-06-01-00 NaN NaN	
18 0 6.0000 274.9997 6.0000 274.9997 6.830518e+03 NaN 228.90 225.55 2004-06-01-00 NaN NaN	
19 0 5.6667 123.3332 5.6667 123.3332 1.093587e+04 0.82 217.60 203.46 2004-06-01-00 NaN NaN	
20 0 5.6667 344.6663 5.6667 344.6663 6.837017e+03 0.00 219.53 214.17 2004-06-01-00 NaN NaN	
21 0 4.6667 118.9999 4.6667 118.9999 1.095396e+04 0.59 224.05 218.19 2004-06-01-00 NaN NaN	
22 0 5.0000 289.6664 5.3333 289.6664 2.325976e+04 0.61 227.36 215.51 2004-06-01-00 NaN NaN	
23 0 3.0000 359.3329 3.0000 359.3329 6.859592e+03 NaN 224.61 217.52 2004-06-01-00 NaN NaN	
24 0 1.6667 293.9997 1.6667 293.9997 5.492406e+03 NaN 231.74 230.91 2004-06-01-00 NaN NaN	
25 0 1.3333 161.6665 1.3333 161.6665 8.240538e+03 0.55 217.07 202.80 2004-06-01-00 NaN NaN	
26 0 -3.6667 310.3330 -4.0000 310.3330 9.595385e+03 NaN 222.30 212.17 2004-06-01-00 NaN NaN	
27 0 -5.6667 160.6665 -5.6667 160.6665 5.469827e+03 NaN 230.91 226.89 2004-06-01-00 NaN NaN	
