ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 24.3333 287.3330 24.0000 286.9997 5.007023e+03 0.00 229.06 224.21 1991-09-01-00 NaN NaN	
2 0 23.6666 274.9997 23.6666 274.6664 5.026612e+03 NaN 227.56 216.18 1991-09-01-00 NaN NaN	
3 0 23.6666 288.3330 24.0000 288.3330 5.026612e+03 NaN 225.72 220.20 1991-09-01-00 NaN NaN	
4 0 22.0000 281.9997 22.0000 281.9997 1.782660e+04 0.76 215.37 202.13 1991-09-01-00 NaN NaN	
5 0 22.3333 202.3331 22.3333 202.3331 1.143658e+04 0.21 229.20 226.22 1991-09-01-00 NaN NaN	
6 0 19.3333 198.9998 19.3333 198.6665 6.478984e+03 0.00 231.84 230.91 1991-09-01-00 NaN NaN	
7 0 19.3333 289.3330 19.3333 289.3330 5.180021e+03 NaN 215.68 209.49 1991-09-01-00 NaN NaN	
8 0 17.6666 301.6664 18.0000 301.6664 5.231181e+03 NaN 225.89 216.85 1991-09-01-00 NaN NaN	
9 0 18.0000 154.3332 17.6666 154.3332 6.537708e+03 NaN 226.35 222.20 1991-09-01-00 NaN NaN	
10 0 16.6666 97.3332 16.6666 96.9999 6.578166e+03 NaN 222.34 217.52 1991-09-01-00 NaN NaN	
11 0 14.6667 353.6663 14.6667 353.6663 6.649228e+03 0.00 225.55 212.83 1991-09-01-00 NaN NaN	
12 0 14.0000 172.9998 14.0000 172.9998 6.661100e+03 0.00 228.50 220.87 1991-09-01-00 NaN NaN	
13 0 13.3333 334.3330 13.3333 334.3330 5.345206e+03 NaN 231.24 229.57 1991-09-01-00 NaN NaN	
14 0 12.6667 248.3331 12.3333 248.3331 1.072814e+04 0.50 223.29 219.53 1991-09-01-00 NaN NaN	
15 0 12.0000 78.3333 12.0000 77.9999 5.375112e+03 0.00 214.84 210.16 1991-09-01-00 NaN NaN	
16 0 10.6667 246.6664 10.6667 246.6664 1.215647e+04 NaN 225.03 220.20 1991-09-01-00 NaN NaN	
