ID	Lifetime(hour)	gLat(N)	gLon(E)	wLat(N)	wLon(E)	Size(km^2)	Eccentricity	BTavg(K)	BTmin(K)	Time(UTC)	Speed(km/h)	Direction(deg)	
1 0 21.3333 116.3332 21.3333 116.3332 5.121592e+03 NaN 212.50 196.77 1994-08-01-00 NaN NaN	
2 0 19.6666 190.3331 19.6666 190.6665 6.468357e+03 NaN 228.09 222.87 1994-08-01-00 NaN NaN	
3 0 18.0000 156.3332 18.0000 155.9998 7.834445e+03 NaN 218.52 210.83 1994-08-01-00 NaN NaN	
4 0 16.0000 185.6665 16.0000 185.3331 1.453029e+04 0.35 226.46 219.53 1994-08-01-00 NaN NaN	
5 0 16.0000 64.9999 16.0000 64.9999 5.277915e+03 NaN 225.55 225.55 1994-08-01-00 NaN NaN	
6 0 16.0000 215.3331 16.0000 215.3331 6.598506e+03 0.00 225.28 218.86 1994-08-01-00 NaN NaN	
7 0 11.6667 256.3331 11.3333 256.3331 5.383262e+03 NaN 219.19 208.82 1994-08-01-00 NaN NaN	
8 0 11.3333 79.3333 11.3333 79.3333 1.482498e+04 0.00 227.44 220.87 1994-08-01-00 NaN NaN	
9 0 9.0000 218.9998 9.0000 218.6664 5.425040e+03 NaN 227.73 219.53 1994-08-01-00 NaN NaN	
10 0 8.6667 296.9997 8.6667 296.9997 5.433677e+03 NaN 228.06 223.54 1994-08-01-00 NaN NaN	
11 0 8.3333 278.6664 8.3333 278.6664 1.087549e+04 0.32 226.05 218.19 1994-08-01-00 NaN NaN	
12 0 6.6667 269.6664 6.3333 269.6664 6.824323e+03 0.00 229.70 228.90 1994-08-01-00 NaN NaN	
13 0 1.3333 189.3331 1.3333 189.6665 5.493917e+03 NaN 230.91 229.57 1994-08-01-00 NaN NaN	
14 0 0.3333 74.6666 0.0000 74.6666 2.884853e+04 0.31 225.01 212.83 1994-08-01-00 NaN NaN	
15 0 -5.6667 157.3332 -5.6667 157.3332 3.280457e+04 0.97 221.59 213.50 1994-08-01-00 NaN NaN	
16 0 -6.3333 81.6666 -6.0000 81.6666 6.828847e+03 0.00 227.43 221.54 1994-08-01-00 NaN NaN	
17 0 -7.3333 159.9998 -7.3333 159.9998 9.807449e+04 0.88 214.45 194.09 1994-08-01-00 NaN NaN	
18 0 -6.6667 168.6665 -6.6667 168.6665 1.364665e+04 0.74 223.88 207.48 1994-08-01-00 NaN NaN	
19 0 -8.3333 156.9998 -8.3333 156.9998 6.797616e+03 NaN 228.63 224.88 1994-08-01-00 NaN NaN	
20 0 -14.3333 204.3331 -14.3333 203.9998 5.328098e+03 NaN 225.72 222.20 1994-08-01-00 NaN NaN	
21 3 22.6666 159.3332 22.6666 159.3332 2.663508e+04 0.54 222.08 210.83 1994-08-01-00 51.96 -153.4	
